No.	CAS	SMILES	Status	Exp activity
146	N.A.	O1c2ccc(cc2(OC1))CC(NCC)C	Training	0
147	N.A.	O1c2ccc(cc2(OC1))CC(NC)C	Test	0
148	N.A.	NC(Nc2cccc1ccccc12)=S	Training	0
149	N.A.	O=C(C)C2(C)(CC1=C(CCCC1(C)C)CC2(C))	Training	0
150	N.A.	O=C(N)NC(=O)C(=CC)CC	Training	0
151	N.A.	O=C1NCCN1CCO	Training	0
152	N.A.	O=C1N(CCO)CCC1	Training	0
153	N.A.	O(c1ccccc1N2CCNCC2)C	Training	0
154	N.A.	O=C(OC3(c1ccccc1)(CCN(CCc2ccccc2)CC3))C	Test	0
155	N.A.	c1cc(cc(c1)Cl)N2CCNCC2	Training	0
156	N.A.	O=C(C=Cc1ccc(OC)cc1)CC	Training	0
157	N.A.	O(c1cc(cc2OCOc12)CC(N)C)C	Training	0
158	N.A.	O=C(C=C)N1CCOCC1	Training	0
159	N.A.	N=C(N)NC(=N)Nc1ccccc1C	Test	0
160	N.A.	O=C(NNc1ccccc1)C	Training	0
161	N.A.	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	1
162	N.A.	N#CC1(N)(CCCCC1)	Training	0
163	N.A.	c1ccc(cc1)Cn2cc[n+](c2)C	Training	0
164	N.A.	c1ccc(cc1)CN2CCNCC2	Training	0
165	N.A.	c1cc(ccc1CC)Br	Training	0
166	N.A.	O(c1ccc(c(c1)C)Br)C	Training	0
167	N.A.	OC(C)COCCCC	Training	0
168	N.A.	c1cc[n+](c(c1)C)CCCC	Training	0
169	N.A.	c1cc(c[n+](c1)CCCC)C	Test	0
170	N.A.	c1c[n+](ccc1C)CCCC	Training	0
171	N.A.	O=C(C1=C(C)C2CC3(C1)(C(C)CCC3(C2(C)(C))))C	Training	0
172	N.A.	O=[N+]([O-])c1cccc(c1C)Cl	Training	0
173	N.A.	O=[N+]([O-])c1cc(ccc1Cl)C(F)(F)F	Training	0
174	N.A.	O=[N+]([O-])c1ccccc1Cl	Test	0
175	N.A.	O=[N+]([O-])c1cccc(c1)Cl	Test	0
176	N.A.	O=[N+]([O-])c1ccc(cc1)Cl	Training	0
177	N.A.	O=C1N(CCC1)C2CCCCC2	Training	0
178	N.A.	c1c[n+](cn1CCCCCCCCCC)C	Test	2
179	N.A.	OCCCCCCCCCCCC	Test	0
180	N.A.	c1c[n+](cn1CCCCCCCCCCCC)C	Test	2
181	N.A.	O=C1N(CC)CCC1	Training	0
182	N.A.	OCCCCCCC	Training	0
183	N.A.	OCCCCCCCCCCCCCCCC	Training	0
184	N.A.	c1c[n+](cn1CCCCCCCCCCCCCCCC)C	Training	2
185	N.A.	OCCCCCC	Training	0
186	N.A.	c1c[n+](cn1CCCCCC)C	Training	0
187	N.A.	c1cc[n+](cc1)CCCCCC	Test	0
188	N.A.	O=[N+]([O-])c1cccc(c1)I	Training	0
189	N.A.	O=[N+]([O-])c1ccccc1(OC)	Training	0
190	N.A.	O(c1ccc(cc1)C)C	Test	0
191	N.A.	c1c[n+](cn1CCCCCCCCCCCCCCCCCC)C	Test	2
192	N.A.	c1c[n+](cn1CCCCCCCC)C	Test	2
193	N.A.	c1c[n+](cn1CCCCCCCCCCCCCC)C	Test	2
194	N.A.	c1ccc2c(c1)cccc2C	Test	0
195	N.A.	c1cc2ccc3ccc(c4ccc(c1)c2c34)C	Test	0
196	N.A.	O=C(OCC(O)CO)CCCCCCCCCCC	Test	0
197	N.A.	O=C(N)Cc2cccc1ccccc12	Training	0
198	N.A.	O=C(O)Cc2cccc1ccccc12	Training	0
199	N.A.	Oc1cccc2ccccc12	Training	0
200	N.A.	Nc1cccc2ccccc12	Training	0
201	N.A.	O=[N+]([O-])c1ccccc1C(F)(F)F	Test	0
202	N.A.	O=[N+]([O-])c1cccc(c1)C(F)(F)F	Training	0
203	N.A.	O=[N+]([O-])CCCCCC	Training	0
204	N.A.	O=[N+]([O-])c2cccc1ccccc12	Test	0
205	N.A.	OCCCCCCCCCCCCCCCCCC	Test	0
206	N.A.	OCCCCCCCC	Test	0
207	N.A.	OCCCCCCCCCCCCCCC	Test	0
208	N.A.	OC(C)COc1ccccc1	Test	0
209	N.A.	NC(Nc1ccccc1)=S	Training	0
210	N.A.	N(=NN(C)C)c1ccccc1	Training	0
211	N.A.	O=C1N(N=C(C)C1)c2ccccc2	Training	0
212	N.A.	O=C(c1ccccc1)CC	Test	0
213	N.A.	O=S(=O)(O)CC(O)COCC=C	Training	0
214	N.A.	O=C(c1ccc(cc1)SC)C(N2CCOCC2)(C)C	Training	0
215	N.A.	O=C(OCC(O)CO)CCCCCCCCCCCCCCCCC	Training	0
216	N.A.	OCCCCCCCCCCCCCC	Test	0
217	N.A.	OCCCCCCCCCCCCC	Test	0
218	N.A.	OCCCCCCCCCCC	Test	0
219	N.A.	FC(F)(F)c1ccccc1n2cncc2	Training	2
220	N.A.	OC(C)COC(C)(C)C	Training	0
221	N.A.	Oc1cc(cc2OC(C)(C)C3CCC(=CC3(c12))C)CCCCC	Training	2
222	N.A.	O=C(O)CCCCCCCCC=C	Training	0
223	N.A.	O=C(O)CCCCCCCCCCC(O)CCCCCC	Test	0
224	N.A.	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4	Test	0
225	N.A.	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Training	0
226	N.A.	O=C1NC(=O)c3cccc2cccc1c23	Training	0
227	N.A.	On2nnc1ccccc12	Training	0
228	N.A.	n1nc2cc(ccc2([nH]1))Cl	Training	0
229	N.A.	O=C(c1ccc(c(c1Cl)Cl)Cl)C	Training	0
230	N.A.	OCC3OC(n2cnc1c(ncnc12)N)CC3	Training	0
231	N.A.	O=C(c1ccc2ccccc2(c1))C	Training	0
232	N.A.	O(c1ccc(cc1Br)Br)c2cc(c(cc2Br)Br)Br	Training	0
233	N.A.	Nc1cc(c(cc1Cl)c2cc(c(N)cc2Cl)Cl)Cl	Training	2
234	N.A.	Oc1c(cc(cc1Cl)C(c2cc(c(O)c(c2)Cl)Cl)(C)C)Cl	Training	0
235	N.A.	OCC(CO)(COCC(CO)(CO)CC)CC	Training	0
236	N.A.	N#CC(N=NC(C#N)(C)CC)(C)CC	Training	0
237	N.A.	N#CC(N=NC(C#N)(C)C)(C)C	Training	0
238	N.A.	N(CC(CC)CCCC)CC(CC)CCCC	Training	0
239	N.A.	O=C(c1ccc(OC)cc1(O))c2ccc(OC)cc2(O)	Test	1
240	N.A.	O=C(c1ccccc1(O))c2ccc(OC)cc2(O)	Test	0
241	N.A.	O=C(c1ccccc1(O))c2ccccc2(O)	Training	2
242	N.A.	n1ccccc1c2ncccc2	Training	0
243	N.A.	n2c1ccccc1sc2SSc4nc3ccccc3s4	Training	0
244	N.A.	OCCSCCO	Training	0
245	N.A.	OCCOc1cccc(OCCO)c1	Training	0
246	N.A.	O(c1ccc(cc1Br)Br)c2ccc(cc2Br)Br	Training	1
247	N.A.	OCC(C)(C)C(O)C(C)C	Training	0
248	N.A.	O=C(OCC(C)(C)C(OC(=O)c1ccccc1)C(C)C)c2ccccc2	Training	2
249	N.A.	O=C(OCC(C)(C)C(OC(=O)C(C)C)C(C)C)C(C)C	Training	0
250	N.A.	OC1CC(NC(C)(C)C1)(C)C	Training	0
251	N.A.	O=C1CC(NC(C)(C)C1)(C)C	Training	0
252	N.A.	OCC(CO)(CBr)CBr	Training	0
253	N.A.	O=C(OCC(COC(=O)c1ccccc1)(COC(=O)c2ccccc2)COC(=O)c3ccccc3)c4ccccc4	Training	0
254	N.A.	c1cc(ccc1C)C(c2ccc(cc2)C)(C)C	Training	0
255	N.A.	O=C(N)C(Cl)Cl	Training	0
256	N.A.	O2c1c(N)cccc1CC2(C)C	Training	0
257	N.A.	O=C(O)CC(C(=O)O)(C)C	Training	0
258	N.A.	O=C(O)CCC(C(=O)O)(C)C	Training	0
259	N.A.	OCC(C)(C)CO	Training	0
260	N.A.	O=C(OCC(C)(C)COC(=O)C(=C)C)C(=C)C	Training	0
261	N.A.	c1ccc(cc1)C(c2ccccc2)(C)C	Test	0
262	N.A.	Oc1ccc(c(c1Cl)Cl)Cl	Test	0
263	N.A.	Oc1c(c(cc(c1Cl)Cl)Cl)Cl	Training	2
264	N.A.	n1c(c(cc(c1Cl)Cl)Cl)Cl	Training	0
265	N.A.	Oc1cc(cc(c1Cl)Cl)Cl	Test	0
266	N.A.	O=C(O)c1cc(cc(c1I)I)I	Training	1
267	N.A.	Oc1cc(cc(c1C)C)C	Training	0
268	N.A.	Oc1c(ccc(c1Cl)Cl)Cl	Training	0
269	N.A.	Oc1c(ccc(c1C)C)C	Test	0
270	N.A.	Nc1cccc(c1(N))C	Training	0
271	N.A.	OCC(CBr)Br	Training	0
272	N.A.	OCC(CCl)Cl	Training	0
273	N.A.	O=C(O)c1cccc(c1Cl)Cl	Training	0
274	N.A.	O=[N+]([O-])c1cccc(c1Cl)Cl	Training	0
275	N.A.	n1ccnc(c1CC)CC	Training	0
276	N.A.	Oc2cccc1c2(OC(C)(C)C1)	Training	0
277	N.A.	Nc1cccc(c1C)C	Test	0
278	N.A.	Oc1cccc(c1C)C	Test	0
279	N.A.	O=C(O)c1ncccc1(C(=O)O)	Training	0
280	N.A.	O=C(OCCOCCCC)COc1cc(c(cc1Cl)Cl)Cl	Training	0
281	N.A.	O=S(=O)(O)c1cc(c(cc1Cl)Cl)Cl	Training	0
282	N.A.	O=[N+]([O-])c1cc(c(cc1Cl)Cl)Cl	Training	0
283	N.A.	Oc1cc(c(cc1Cl)Cl)Cl	Test	0
284	N.A.	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Test	0
285	N.A.	Nc1cc(c(cc1C)C)C	Training	0
286	N.A.	Oc1c(cc(cc1Br)Br)Br	Training	0
287	N.A.	Nc1c(cc(cc1Cl)Cl)Cl	Training	0
288	N.A.	Oc1c(cc(cc1Cl)Cl)Cl	Training	0
289	N.A.	O=C(O)c1c(cc(cc1C)C)C	Training	0
290	N.A.	Oc1c(cc(cc1C)C)C	Test	0
291	N.A.	n1c(nc(nc1OCC=C)OCC=C)OCC=C	Training	0
292	N.A.	OC(C#CC(O)(C)CC(C)C)(C)CC(C)C	Training	2
293	N.A.	O=C(OCCCC)COc1ccc(cc1Cl)Cl	Test	0
294	N.A.	O=C(OC(C)C)COc1ccc(cc1Cl)Cl	Test	0
295	N.A.	O=C(O)COc1ccc(cc1Cl)Cl	Training	0
296	N.A.	O=C(OCCOCCCC)COc1ccc(cc1Cl)Cl	Test	0
297	N.A.	O=C(OCC)COc1ccc(cc1Cl)Cl	Test	0
298	N.A.	O=C(OC)COc1ccc(cc1Cl)Cl	Test	0
299	N.A.	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	0
300	N.A.	O=[N+]([O-])c1cc(cc(c1(N))Cl)Cl	Training	2
301	N.A.	Nc1ccc(cc1Cl)Cl	Test	0
302	N.A.	O=C(O)c1ccc(cc1Cl)Cl	Test	0
303	N.A.	OCc1ccc(cc1Cl)Cl	Training	0
304	N.A.	O=[N+]([O-])c1ccc(cc1Cl)Cl	Training	0
305	N.A.	Oc1ccc(cc1Cl)Cl	Test	0
306	N.A.	O=C(O)Cc1ccc(cc1Cl)Cl	Training	0
307	N.A.	Fc1ccc(N)c(F)c1	Training	0
308	N.A.	O=[N+]([O-])c1ccc(F)cc1(F)	Training	0
309	N.A.	O=C(c1ccccc1)c2ccc(O)cc2(O)	Training	0
310	N.A.	O(c1ccc(N)c(OC)c1)C	Training	0
311	N.A.	Nc1ccc(cc1C)C	Training	0
312	N.A.	Oc1ccc(cc1C)C	Test	0
313	N.A.	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Test	0
314	N.A.	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	0
315	N.A.	NC(NC(N)=S)=S	Training	0
316	N.A.	O=C(O)C=CC=CC	Training	0
317	N.A.	OC(C)CC(O)C	Training	0
318	N.A.	O=C(O)c1ccc(O)cc1(O)	Training	0
319	N.A.	OCCOCCOCCOCCOC	Test	0
320	N.A.	O=C(O)c1cc(cc(c1Cl)[N+](=O)[O-])Cl	Training	0
321	N.A.	Nc1cc(ccc1Cl)Cl	Training	0
322	N.A.	O(c1cc(ccc1Cl)Cl)C	Training	0
323	N.A.	O=C(O)c1cc(ccc1Cl)Cl	Test	0
324	N.A.	Oc1cc(ccc1Cl)Cl	Test	0
325	N.A.	O(c1cc(c(OC)cc1(N))Cl)C	Training	0
326	N.A.	O(c1ccc(OC)c(c1)CC(N)C)C	Test	0
327	N.A.	O(OC(C)(C)CCC(OOC(C)(C)C)(C)C)C(C)(C)C	Training	0
328	N.A.	O=S(=O)(O)c1cc(ccc1C)C	Training	0
329	N.A.	OC(C)(C)CCC(O)(C)C	Training	0
330	N.A.	Oc1cc(ccc1C)C	Test	0
331	N.A.	O=C1C=C(C(=O)C(C)(C)C1)C	Training	0
332	N.A.	OC(CC(C)C)CC(C)CC(C)C	Training	0
333	N.A.	O=C(CC(C)C)CC(C)CC(C)C	Training	0
334	N.A.	Oc1c(cc(cc1C(C)(C)C)CN(C)C)C(C)(C)C	Training	0
335	N.A.	O=C(N)c1c(cccc1Cl)Cl	Training	0
336	N.A.	Nc1c(cccc1CC)CC	Test	0
337	N.A.	O=[N+]([O-])c1cc(c(O)c(c1)I)I	Training	0
338	N.A.	Nc1c(cccc1C(C)C)C(C)C	Training	0
339	N.A.	O=C(O)c1c(OC)cccc1(OC)	Training	0
340	N.A.	Nc1c(cccc1C)C	Test	0
341	N.A.	c1cc(cc2ccc(cc12)C)C	Test	0
342	N.A.	OC(C)(C)CCCC(C)CC	Test	0
343	N.A.	Oc1c(cccc1C)C	Training	0
344	N.A.	O=[N+]([O-])c1cccc(c1C)[N+](=O)[O-]	Test	0
345	N.A.	Oc1ccc3c(c1)C4(C)(CCN(CC2CC2)C(C3)C4(C))	Test	0
346	N.A.	O=C(O)c1ccc2cc(ccc2(c1))C(=O)O	Training	0
347	N.A.	O=C(O)c1nc(ccc1)C(=O)O	Training	0
348	N.A.	O=C(O)C(Oc1cc(c(cc1Cl)Cl)Cl)C	Training	0
349	N.A.	OCCOCCN	Training	0
350	N.A.	OCCOCCOCCCC	Test	0
351	N.A.	O=C(OCCOCCOCCCC)C	Training	0
352	N.A.	N#CSCCOCCOCCCC	Training	0
353	N.A.	n1ccsc1CC(C)C	Training	0
354	N.A.	O=[N+]([O-])c1ccccc1CCO	Training	0
355	N.A.	OCCOCCOCCC	Training	0
356	N.A.	Oc1ccc(cc1n2nc3ccccc3(n2))C	Training	1
357	N.A.	Oc1ccc(cc1)Cc2ccccc2(O)	Test	0
358	N.A.	Oc1ccccc1C(C)CC	Test	0
359	N.A.	n1ccccc1CCl	Training	0
360	N.A.	OCCN(CCCC)CCCC	Training	0
361	N.A.	O=C(OCCN(CC)CC)C(=C)C	Training	0
362	N.A.	O=C(OCCN(C)C)C=C	Training	0
363	N.A.	OCCOCCCCCC	Training	0
364	N.A.	O=C1c2ccccc2(C(=O)N1CO)	Training	0
365	N.A.	OCC(C)(CO)CO	Test	0
366	N.A.	O=[N+]([O-])C(CO)(CO)CO	Training	0
367	N.A.	OCCN(c1cccc(c1)C)CC	Training	0
368	N.A.	O=S(=O)(c1ccccc1)c2ccccc2(N)	Training	0
369	N.A.	OCCc1ncccc1	Training	0
370	N.A.	O=C(OCCNC(C)(C)C)C(=C)C	Training	0
371	N.A.	O=C(Nc1ccccc1(O))C	Training	0
372	N.A.	O=C(Nc2ccc3c1ccccc1Cc3(c2))C	Test	1
373	N.A.	O=C(c2ccc3c1ccccc1Cc3(c2))C	Training	1
374	N.A.	O=C(c1ncccc1)C	Training	0
375	N.A.	O=C(c1nccs1)C	Training	0
376	N.A.	O=C(C=C)NC(C)(C)CS(=O)(=O)O	Training	0
377	N.A.	Oc1ccccc1CC=C	Test	0
378	N.A.	n1c(nc(cc1Cl)Cl)N	Training	0
379	N.A.	O=[N+]([O-])c1cc(N)c(O)c(c1)[N+](=O)[O-]	Training	0
380	N.A.	O=[N+]([O-])c1ccc(cc1)c2nc(N)sc2	Training	1
381	N.A.	O=S(=O)(O)c1cc(c(cc1(N))Cl)C	Training	0
382	N.A.	n1c(N)sc2cccc(c12)Cl	Training	0
383	N.A.	Oc1ccc(cc1(N))Cl	Training	0
384	N.A.	n1c(N)sc2cccc(OC)c12	Training	0
385	N.A.	n1c(N)sc2cccc(c12)C	Training	0
386	N.A.	n1c(N)scc1c2ccccc2	Training	1
387	N.A.	O=C(O)Cc1nc(N)sc1	Training	0
388	N.A.	n2c1cc(c(cc1sc2N)C)C	Training	1
389	N.A.	O=S(=O)(O)c1cc(c(cc1(N))C)Cl	Training	0
390	N.A.	O=[N+]([O-])c1ccc(N)c(O)c1	Training	0
391	N.A.	n2c1ccc(OCC)cc1sc2N	Training	1
392	N.A.	n2c1ccc(OC)cc1sc2N	Test	1
393	N.A.	O=C(NC(C)C)c1ccccc1(N)	Training	0
394	N.A.	O=S(=O)(c1ccccc1(N))N(C)C2CCCCC2	Training	0
395	N.A.	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	1
