ID	CAS 	SMILES	STATUS	 log1/LC50(mmol/L) 	Prediction
128	000057-55-6	OCC(O)C	Training	-2.16 	-2.026238398
129	000107-41-5	OC(CC(O)(C)C)C	Training	-1.94 	-0.952263964
131	000111-46-6	O(CCO)CCO	Training	-2.85 	-2.378390954
132	000112-27-6	O(CCOCCO)CCO	Training	-2.66 	-1.767881432
133	000060-29-7	O(CC)CC	Training	-1.54 	-1.263304977
134	001634-04-4	O(C(C)(C)C)C	Training	-0.88 	-1.255511669
135	000108-20-3	O(C(C)C)C(C)C	Training	-0.28 	-0.685032061
136	000142-96-1	O(CCCC)CCCC	Training	0.61 	0.547478179
138	000693-65-2	O(CCCCC)CCCCC	Training	1.70 	0.983947488
141	000109-99-9	O(CCC1)C1	Training	-1.48 	-0.636484143
142	015045-43-9	O1C(C)(C)CCC1(C)C	Training	-0.12 	0.176361862
143	000470-82-6	C1CC2C(C)(C)OC1(C)CC2	Training	0.18 	0.238179361
144	000100-79-8	O(CC(O1)CO)C1(C)C	Training	-2.10 	-1.86072967
146	034723-82-5	BrCC1CCCCO1	Training	-0.06 	0.775903437
147	000123-91-1	O(CCOC1)C1	Training	-2.06 	-1.737117139
148	000110-88-3	O(COCO1)C1	Training	-1.82 	-2.06
149	000075-07-0	O=CC	Training	0.14 	0.146294929
150	000123-72-8	O=CCCC	Training	0.67 	0.518451424
151	000110-62-3	O=CCCCC	Training	0.83 	0.401811423
152	000096-17-3	O=CC(CC)C	Training	0.94 	0.555242526
153	000590-86-3	O=CCC(C)C	Training	1.42 	0.423894704
154	000123-15-9	O=CC(CCC)C	Training	0.73 	1.010577671
155	000066-25-1	O=CCCCCC	Training	0.81 	0.21851035
156	003944-76-1	CCC(C)C(C)C(=O)	Training	0.85 	0.194943725
158	000107-02-8	O=CC=C	Training	3.45 	0.655556441
161	000067-64-1	O=C(C)C	Training	-2.15 	-1.276083973
162	000078-93-3	O=C(CC)C	Training	-1.65 	-1.388149276
163	000563-80-4	O=C(C(C)C)C	Training	-1.01 	-0.349115427
164	000096-22-0	O=C(CC)CC	Training	-1.25 	-1.050497843
165	000107-87-9	O=C(CCC)C	Training	-1.16 	-1.067589291
166	000108-10-1	O=C(CC(C)C)C	Training	-0.73 	-0.366206954
167	000591-78-6	O=C(CCCC)C	Training	-0.63 	-0.141675821
168	000075-97-8	O=C(C(C)(C)C)C	Training	0.06 	-1.151073767
169	000111-13-7	O=C(CCCCCC)C	Training	0.55 	0.747795385
170	000110-43-0	O=C(CCCCC)C	Training	-0.06 	0.145700134
171	000110-12-3	O=C(CCC(C)C)C	Training	-0.14 	0.048895684
172	000502-56-7	O=C(CCCC)CCCC	Training	0.66 	1.245786739
173	000821-55-6	O=C(CCCCCCC)C	Training	0.97 	1.173275947
174	000693-54-9	O=C(CCCCCCCC)C	Training	1.44 	1.472544967
175	000112-12-9	O=C(CCCCCCCCC)C	Training	2.06 	1.83707618
176	006175-49-1	O=C(CCCCCCCCCC)C	Training	2.19 	1.82259874
177	000593-08-8	O=C(CCCCCCCCCCC)C	Training	2.74 	1.685519799
178	000108-94-1	O=C(CCCC1)C1	Training	-0.80 	0.168375903
179	000464-48-2	O=C(CC1C2)C(C2)(C1(C)C)C	Training	0.95 	0.565776423
180	010293-06-8	O=C(C(C(C1C2)(C)C)(C2)C)C1Br	Training	0.53 	-0.011385042
181	000700-58-3	C13CC2CC(CC(C1=O)C2)C3	Training	0.39 	0.214462839
182	000110-93-0	O=C(CCC=C(C)C)C	Training	0.17 	-0.658247575
185	000079-77-6	O=C(C=CC(=C(CCC1)C)C1(C)C)C	Training	1.58 	1.87430513
186	000123-54-6	O=C(CC(=O)C)C	Training	-0.17 	-1.197617238
188	000126-81-8	O=C(CC(CC1(=O))(C)C)C1	Training	-1.91 	-0.009665206
189	000079-20-9	O=C(OC)C	Training	-0.64 	-0.570733394
190	000141-78-6	O=C(OCC)C	Training	-0.42 	-0.034666608
191	000109-60-4	O=C(OCCC)C	Training	0.23 	-0.149688209
192	000123-86-4	O=C(OCCCC)C	Training	0.81 	0.629294965
194	000540-88-5	O=C(OC(C)(C)C)C	Training	-0.45 	0.570203597
195	000123-66-0	O=C(OCC)CCCCC	Training	1.21 	1.388950681
196	000142-92-7	O=C(OCCCCCC)C	Training	1.52 	1.29358299
198	000111-15-9	O=C(OCCOCC)C	Training	0.50 	-0.610241796
199	000706-14-9	O=C(OC(C1)CCCCCC)C1	Training	0.98 	1.231453271
200	000105-53-4	O=C(OCC)CC(=O)OCC	Training	1.03 	1.101913002
201	000141-28-6	O=C(OCC)CCCCC(=O)OCC	Training	1.05 	1.692881459
202	000141-03-7	O=C(OCCCC)CCC(=O)OCCCC	Training	1.71 	1.880464557
203	000105-99-7	O=C(OCCCC)CCCCC(=O)OCCCC	Training	1.85 	1.456835208
204	000110-40-7	O=C(OCC)CCCCCCCCC(=O)OCC	Training	1.98 	1.416878151
205	014064-10-9	O=C(OCC)C(C(=O)OCC)Cl	Training	2.31 	0.740648384
210	000080-62-6	O=C(OC)C(=C)C	Training	-0.45 	1.074366975
211	004655-34-9	O=C(OC(C)C)C(=C)C	Training	0.53 	0.843715909
212	000096-05-9	O=C(OCC=C)C(=C)C	Training	2.11 	0.42939995
214	000106-63-8	O=C(OCC(C)C)C=C	Training	1.79 	0.949342846
216	002499-95-8	O=C(OCCCCCC)C=C	Training	2.15 	1.640432835
219	003066-71-5	O=C(OC(CCCC1)C1)C=C	Training	2.02 	1.367346114
220	000818-61-1	O=C(OCCO)C=C	Training	1.38 	0.670395418
221	000868-77-9	O=C(OCCO)C(=C)C	Training	-0.24 	1.081315916
222	000999-61-1	O=C(OCC(O)C)C=C	Training	1.58 	1.210860816
223	002370-63-0	O=C(OCCOCC)C(=C)C	Training	0.76 	0.622765196
224	000105-75-9	O=C(OCCCC)C=CC(=O)OCCCC	Training	2.69 	1.684090834
228	002455-24-5	O=C(OCC(OCC1)C1)C(=C)C	Training	0.69 	1.186702469
230	000137-40-6	CCC(=O)O	Training	-1.70 	-1.400460649
231	000142-62-1	O=C(O)CCCCC	Training	-0.44 	0.395550592
234	000112-05-0	O=C(O)CCCCCCCC	Training	0.18 	0.916896824
237	000124-04-9	O=C(O)CCCCC(=O)O	Training	0.18 	0.453717564
246	000107-10-8	NCCC	Training	-0.72 	-0.596241085
247	000109-73-9	NCCCC	Training	-0.56 	-0.530182657
248	033966-50-6	CCC(N)C	Training	-0.58 	-0.527286095
249	005813-64-9	CC(C)(C)CN	Training	-0.74 	-0.591290619
250	000110-58-7	NCCCCC	Training	-0.31 	-0.344526536
251	000598-74-3	NC(C)C(C)C	Training	-0.51 	-0.549773278
252	000111-26-2	NCCCCCC	Training	0.25 	0.786581185
254	000111-68-2	NCCCCCCC	Training	0.72 	1.212626264
255	000107-45-9	NC(CC(C)(C)C)(C)C	Training	0.72 	-0.333738031
256	000111-86-4	NCCCCCCCC	Training	1.40 	1.526469055
257	000693-16-3	NC(CCCCCC)C	Training	1.40 	1.521095768
258	000112-20-9	NCCCCCCCCC	Training	1.82 	1.970689362
259	002016-57-1	NCCCCCCCCCC	Training	2.18 	2.353154613
260	007307-55-3	CCCCCCCCCCCN	Training	2.91 	2.687260419
261	000124-22-1	NCCCCCCCCCCCC	Training	3.26 	2.61454388
262	002869-34-3	NCCCCCCCCCCCCC	Training	3.48 	2.563872349
265	000080-52-4	NC(C(CCC(N)(C1)C)C1)(C)C	Training	0.42 	1.535823657
266	000768-94-5	C(N)(CC(CC1CC23)C2)(C1)C3	Training	0.78 	1.456570039
267	000109-85-3	O(CCN)C	Training	-0.84 	-0.922692464
268	000109-89-7	N(CC)CC	Training	-1.07 	-0.167035222
269	000143-16-8	N(CCCCCC)CCCCCC	Training	2.38 	2.296782283
272	000141-91-3	O(C(CNC1)C)C1C	Training	-0.53 	-0.355308922
274	000102-69-2	N(CCC)(CCC)CCC	Training	0.45 	0.162403379
276	000091-65-6	N(C(CCCC1)C1)(CC)CC	Training	0.86 	1.616503937
277	007250-67-1	N1(CCCl)CCCC1	Training	0.05 	0.194704368
278	006921-29-5	C#CCN(CC#C)CC#C	Training	-0.35 	-0.35
279	006948-86-3	CCOC(CN(C)CC(OCC)OCC)OCC	Training	-0.38 	-0.38
280	000105-14-6	CCN(CC)CCCC(C)=O	Training	-0.33 	0.451005957
281	022104-62-7	O=C(C(C)CN(C)C)C	Training	1.18 	-0.55485641
282	005407-04-5	ClCCCN(C)C	Training	0.08 	0.035379238
284	000141-43-5	OCCN	Training	-1.53 	-0.457340389
285	000078-96-6	OC(CN)C	Training	-1.53 	-0.624590272
286	000110-73-6	OCCNCC	Training	1.22 	-1.731268039
287	000111-42-2	OCCNCCO	Training	-2.65 	-0.838797449
289	000100-37-8	OCCN(CC)CC	Training	-1.18 	-0.781147165
290	000096-80-0	OCCN(C(C)C)C(C)C	Training	-0.14 	-0.566388461
291	000102-71-6	OCCN(CCO)CCO	Training	-1.90 	-1.368092274
292	000622-40-2	O(CCN(C1)CCO)C1	Training	-1.32 	-1.848194417
293	000107-15-3	NCCN	Training	-0.56 	-1.149648817
294	000109-76-2	NCCCN	Training	-1.21 	-0.764902148
295	000078-90-0	NCC(N)C	Training	-1.13 	-0.783959374
297	000109-07-9	N(CCNC1C)C1	Training	-1.35 	-1.212460614
298	000109-01-3	N(CCNC1)(C1)C	Training	-1.36 	-1.356603145
299	000140-31-8	N(CCNC1)(C1)CCN	Training	-1.23 	-1.406728423
300	000103-76-4	OCCN(CCNC1)C1	Training	-1.69 	-0.643514373
303	007209-38-3	N(CCN(C1)CCCN)(C1)CCCN	Training	-1.19 	-1.411685786
304	000280-57-9	C(CN(C1)C2)N(C1)C2	Training	-1.19 	-1.402478482
305	000100-97-0	N13CN2CN(CN(C1)C2)C3	Training	-2.55 	-2.55
307	000075-05-8	C(#N)C	Training	1.60 	0.339113868
308	000107-12-0	C(#N)CC	Training	-1.44 	0.674815446
309	002243-27-8	N#CCCCCCCCC	Training	1.44 	1.337253928
310	002437-25-4	N#CCCCCCCCCCCC	Training	2.62 	2.704311626
311	000107-14-2	N#CCCl	Training	1.75 	0.173537926
313	000109-75-1	N#CCC=C	Training	-0.43 	0.58385626
314	000109-77-3	C(#N)CC(#N)	Training	2.07 	-0.440063655
315	000111-69-3	C(#N)CCCCC(#N)	Training	-1.25 	1.211491267
316	000629-40-3	N#CCCCCCCC#N	Training	-0.59 	0.952630947
323	000068-12-2	O=CN(C)C	Training	-2.16 	-999
324	000761-65-9	O=CN(CCCC)CCCC	Training	0.25 	0.864044805
325	000683-72-7	O=C(N)C(Cl)Cl	Training	-0.27 	-0.27
332	000057-14-7	N(N)(C)C	Training	0.88 	-1.240037562
340	000107-29-9	N(O)=CC	Training	-0.11 	-1.209296911
341	000096-29-7	N(O)=C(CC)C	Training	-0.99 	-0.856741384
342	000100-64-1	N(O)=C(CCCC1)C1	Training	-0.26 	-0.744109932
343	000051-79-6	O=C(OCC)N	Training	-1.77 	-1.152365203
344	031502-57-5	C1CCC(CC1)NC(=O)OCCCl	Training	0.76 	0.77
345	003206-31-3	CCOC(=O)N(C(=O)OCC)C(=O)OCC	Training	1.24 	1.24
355	000111-47-7	S(CCC)CCC	Training	0.74 	1.310513552
356	000544-40-1	S(CCCC)CCCC	Training	1.61 	1.318590628
357	000107-47-1	S(C(C)(C)C)C(C)(C)C	Training	0.70 	1.243026468
359	005395-75-5	S(CC)CCSCC	Training	0.40 	1.099463149
360	056348-40-4	CSCCCCCCSC	Training	1.25 	1.578688421
361	022037-97-4	CCCSCCSCCC	Training	1.38 	1.104876999
362	054576-32-8	S(CC)CCCCSCC	Training	1.47 	1.531132577
363	na	CCCSCCCCSCCC	Training	1.84 	1.43181948
366	004253-89-8	S(SC(C)C)C(C)C	Training	1.26 	1.563220483
367	000629-19-6	S(SCCC)CCC	Training	1.76 	1.371014333
368	000110-06-5	S(SC(C)(C)C)C(C)(C)C	Training	2.11 	1.232718254
369	000067-68-5	O=S(C)C	Training	-2.64 	-2.64
370	000116-06-3	O=C(ON=CC(SC)(C)C)NC	Training	2.34 	1.675878517
371	016752-77-5	CNC(=O)ON=C(C)SC	Training	1.89 	1.895408731
372	023135-22-0	CNC(=O)ON=C(SC)C(=O)N(C)C	Training	1.42 	2.102509638
375	000126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	1.42 	1.77015142
376	000078-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	1.55 	-999
378	000298-04-4	CCOP(=S)(OCC)SCCSCC	Training	1.84 	2.794775201
380	000121-75-5	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	Training	1.37 	1.37
381	013071-79-9	CCOP(=S)(OCC)SCSC(C)(C)C	Training	4.34 	2.002354097
382	008065-48-3	CCOP(=S)(OCC)OCCSCC	Training	1.21 	2.575003834
385	000071-43-2	c(cccc1)c1	Training	0.58 	0.910721224
386	000108-88-3	c(cccc1)(c1)C	Training	0.48 	1.023924176
387	000100-41-4	c(cccc1)(c1)CC	Training	0.94 	0.918141225
388	000106-42-3	c(ccc(c1)C)(c1)C	Training	1.08 	0.851250109
390	000095-47-6	c(c(ccc1)C)(c1)C	Training	0.81 	0.924744561
391	000095-63-6	c(ccc(c1C)C)(c1)C	Training	1.19 	0.914734086
392	000098-82-8	c(cccc1)(c1)C(C)C	Training	1.28 	1.084094313
393	000141-93-5	c(cccc1CC)(c1)CC	Training	1.51 	1.123287905
396	000538-68-1	c(cccc1)(c1)CCCCC	Training	1.94 	1.540718025
401	030030-25-2	C=Cc1ccc(cc1)CCl	Training	2.69 	2.07577089
404	001746-23-2	c(ccc(c1)C=C)(c1)C(C)(C)C	Training	2.52 	1.207460255
406	000127-66-2	OC(C#C)(c(cccc1)c1)C	Training	0.11 	0.893032591
408	000623-25-6	c(ccc(c1)CCl)(c1)CCl	Training	3.65 	1.980733838
409	000095-52-3	Fc(c(ccc1)C)c1	Training	0.75 	1.264707074
411	000108-90-7	c(cccc1)(c1)Cl	Training	0.82 	1.129451438
415	000095-50-1	c(c(ccc1)Cl)(c1)Cl	Training	0.93 	1.430921079
416	000541-73-1	c(cccc1Cl)(c1)Cl	Training	1.26 	1.130785568
417	000106-46-7	c(ccc(c1)Cl)(c1)Cl	Training	1.02 	1.191571922
419	000095-75-0	c(ccc(c1Cl)Cl)(c1)C	Training	1.74 	1.28892309
425	000120-82-1	c(ccc(c1Cl)Cl)(c1)Cl	Training	1.78 	1.354422549
430	000081-19-6	c(c(c(cc1)Cl)C(Cl)Cl)(c1)Cl	Training	2.37 	1.887588202
434	000583-53-9	c(c(ccc1)Br)(c1)Br	Training	1.77 	0.94064814
435	013209-15-9	BrC(Br)c(c(ccc1)C(Br)Br)c1	Training	2.98 	2.110396068
437	000103-05-9	OC(CCc(cccc1)c1)(C)C	Training	0.39 	1.237534058
438	002362-61-0	OC1CCCCC1c2ccccc2	Training	0.60 	1.600441685
439	000150-78-7	O(c(ccc(OC)c1)c1)C	Training	0.07 	0.183082071
440	001126-79-0	O(c(cccc1)c1)CCCC	Training	1.42 	-0.194608249
441	005673-07-4	COc1c(C)c(OC)ccc1	Training	0.88 	0.485762128
444	000122-99-6	O(c(cccc1)c1)CCO	Training	-0.40 	-0.115647204
445	000770-35-4	O(c(cccc1)c1)CC(O)C	Training	-0.27 	0.316411392
446	004169-04-4	O(c(cccc1)c1)C(CO)C	Training	-0.27 	0.302543203
448	013909-73-4	CC(=O)c1c(OC)c(OC)c(OC)cc1	Training	-0.18 	1.5820081
449	000607-81-8	c1ccccc1CC(C(=O)OCC)C(=O)OCC	Training	1.66 	2.162373001
451	006203-18-5	O=CC=Cc(ccc(N(C)C)c1)c1	Training	1.47 	0.589279288
454	002495-37-6	O=C(OCc(cccc1)c1)C(=C)C	Training	1.58 	0.760417381
455	000108-95-2	Oc(cccc1)c1	Training	0.49 	0.841662131
458	000095-48-7	Oc(c(ccc1)C)c1	Training	0.89 	0.864817541
460	000123-07-9	Oc(ccc(c1)CC)c1	Training	1.07 	1.080647451
461	000105-67-9	Oc(c(cc(c1)C)C)c1	Training	0.87 	1.049669721
464	002416-94-6	Oc(c(ccc1C)C)c1C	Training	1.22 	1.054036693
465	000645-56-7	Oc(ccc(c1)CCC)c1	Training	1.09 	1.335137694
466	000527-60-6	Oc(c(cc(c1)C)C)c1C	Training	1.02 	1.107232094
470	000098-54-4	Oc(ccc(c1)C(C)(C)C)c1	Training	1.46 	1.251745195
476	000080-46-6	Oc(ccc(c1)C(CC)(C)C)c1	Training	1.80 	1.018191801
483	000128-37-0	Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C	Training	2.78 	2.058769542
484	000104-40-5	Oc(ccc(c1)CCCCCCCCC)c1	Training	3.20 	2.419489853
487	000732-26-3	Oc(c(cc(c1)C(C)(C)C)C(C)(C)C)c1C(C)(C)C	Training	3.63 	1.837966511
489	001745-81-9	Oc(c(ccc1)CC=C)c1	Training	0.98 	1.125998142
491	000106-48-9	Oc(ccc(c1)Cl)c1	Training	1.32 	1.394700155
493	000095-57-8	Oc(c(ccc1)Cl)c1	Training	1.01 	1.477137879
495	000059-50-7	Oc(ccc(c1C)Cl)c1	Training	1.35 	1.636933657
499	000120-83-2	Oc(c(cc(c1)Cl)Cl)c1	Training	1.31 	1.478148164
504	000088-06-2	Oc(c(cc(c1)Cl)Cl)c1Cl	Training	1.33 	2.16204022
505	000095-95-4	Oc(c(cc(c1Cl)Cl)Cl)c1	Training	2.25 	1.933447361
506	000058-90-2	Oc(c(cc(c1Cl)Cl)Cl)c1Cl	Training	2.35 	2.597586742
507	004901-51-3	Oc1cc(Cl)c(Cl)c(Cl)c1Cl	Training	2.75 	2.490734701
509	000087-86-5	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Training	3.08 	2.414610337
512	000118-79-6	Oc(c(cc(c1)Br)Br)c1Br	Training	1.70 	2.253184322
513	000608-71-9	Oc(c(c(c(c1Br)Br)Br)Br)c1Br	Training	3.72 	2.119147652
514	000609-23-4	Oc(c(cc(c1)I)I)c1I	Training	2.59 	1.751073444
515	000150-19-6	O(c(cccc1O)c1)C	Training	0.22 	0.367388165
516	000150-76-5	O(c(ccc(O)c1)c1)C	Training	0.05 	0.411522055
518	002460-49-3	COc1cc(Cl)c(Cl)cc1O	Training	1.64 	1.967942221
519	000552-41-0	COc1ccc(C(C)=O)c(O)c1	Training	0.48 	1.200062511
521	000118-61-6	O=C(OCC)c(c(O)ccc1)c1	Training	0.93 	0.568863456
522	000090-02-8	O=Cc(c(O)ccc1)c1	Training	1.73 	0.699852512
523	000121-33-5	O=Cc(ccc(O)c1OC)c1	Training	0.34 	0.912562811
524	000121-32-4	O=Cc(ccc(O)c1OCC)c1	Training	0.28 	0.838112586
525	000708-76-9	COc1cc(O)c(C=O)c(OC)c1	Training	1.83 	0.469265979
526	000148-53-8	O=Cc(c(O)c(OC)cc1)c1	Training	1.78 	0.624096375
527	000635-93-8	O=Cc(c(O)ccc1Cl)c1	Training	2.31 	1.731473218
528	001761-61-1	O=Cc(c(O)ccc1Br)c1	Training	2.19 	1.913461176
529	000090-59-5	Oc1c(Br)cc(Br)cc1C=O	Training	2.52 	1.48884911
530	002973-76-4	O=Cc(cc(OC)c(O)c1Br)c1	Training	0.59 	1.13400575
531	042454-06-8	Oc1ccc([N+](=O)[O-])c(C=O)c1	Training	0.60 	0.687401731
532	098434-34-5	COc1c([N+](=O)[O-])c(C=O)cc(Br)c1O	Training	0.58 	1.215687819
533	000100-02-7	[O-][N+](=O)c(ccc(O)c1)c1	Training	0.43 	0.145885201
535	000088-75-6	[O-][N+](=O)c(c(O)ccc1)c1	Training	-0.06 	0.284512499
537	000088-30-2	Oc(ccc1N(=O)=O)cc1C(F)(F)F	Training	1.36 	1.057297609
538	000573-56-8	Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]	Training	0.67 	1.483891256
539	000051-28-5	[O-][N+](=O)c(ccc(O)c1N(=O)(=O))c1	Training	1.14 	1.358112842
540	000534-52-1	[O-][N+](=O)c(cc([N+](=O)[O-])c(O)c1C)c1	Training	2.01 	1.29572399
541	000329-71-5	Oc1cc(ccc1[N+](=O)[O-])[N+](=O)[O-]	Training	1.74 	1.197769226
542	000088-85-8	[O-][N+](=O)c(cc([N+](=O)[O-])c(O)c1C(CC)C)c1	Training	2.54 	1.434802282
543	000108-46-3	Oc(cccc1O)c1	Training	0.34 	0.478833815
544	000120-80-9	Oc(c(O)ccc1)c1	Training	1.08 	0.276588417
545	002138-22-9	Oc1ccc(Cl)cc1O	Training	1.96 	1.497475944
546	003428-24-8	Oc1cc(Cl)c(Cl)cc1O	Training	2.30 	1.792675957
547	001198-55-6	Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1O	Training	2.29 	2.613885605
548	000095-01-2	O=Cc(c(O)cc(O)c1)c1	Training	1.02 	1.124406979
549	002150-47-2	O=C(OC)c(c(O)cc(O)c1)c1	Training	0.60 	1.065915109
552	000119-34-6	O=N(=O)c(c(O)ccc1N)c1	Training	0.63 	0.543379273
554	017754-90-4	O=Cc(c(O)cc(N(CC)CC)c1)c1	Training	1.56 	-5.58E-04
561	000062-53-3	Nc(cccc1)c1	Training	-0.10 	0.077313547
562	000106-49-0	Nc(ccc(c1)C)c1	Training	-0.16 	0.142654483
568	000589-16-2	Nc(ccc(c1)CC)c1	Training	0.22 	0.62287798
571	000104-13-2	Nc(ccc(c1)CCCC)c1	Training	1.17 	2.008082897
