ID	CAS	SMILES	Set	Binding Exp
61	-	Oc1c(ncc(c1CO)CO)C	Training	0
62	-	c1ccc(cc1)C=C(c2ccccc2)c3ccccc3	Training	2
63	-	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	0
64	-	O=C1NC2CSC(CCCCC(=O)O)C2(N1)	Training	0
65	-	OC1OCC(O)C(O)C1(O)	Training	0
66	-	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	0
67	-	O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O)	Training	0
68	-	O=C(Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C	Training	0
69	-	O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3C(=O)N=C(N)Nc3(nc2))C(=O)O	Training	0
70	-	O=S(=O)(Nc1nc2ccccc2(nc1))c3ccc(N)cc3	Training	0
71	-	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	0
72	-	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	0
73	-	N(=Nc1ccc(N)cc1)c2ccccc2	Training	0
74	-	OCCc1ccccc1	Training	0
75	-	O=C(O)CCCCCCCC=CCC=CCCCCC	Training	0
76	-	O=C(N)C	Training	0
77	-	O=C(NC)CSP(OC)(OC)=S	Training	0
78	-	O=C(N)C3C(=O)C(N(C)C)C4CC2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	Training	0
79	-	N1=CCN(C1=S)C	Training	0
80	-	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	0
81	-	O=C(O)Cc2cccc1ccccc12	Training	0
82	-	n2c1ccc(cc1[s+]c3cc(ccc23)N(C)C)N(C)C	Training	0
83	-	n1c[nH]nc1N	Training	0
84	-	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Training	0
85	-	Nc1ccccc1	Training	0
86	-	NC(N)=S	Training	0
87	-	O=P(OC=C(Cl)Cl)(OC)OC	Training	0
88	-	O=C(O)CF	Training	0
89	-	O=NN(C)C	Training	0
90	-	O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3)	Training	0
91	-	O=C(Oc1cccc2ccccc12)NC	Training	0
92	-	OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O)	Training	0
93	-	O=C(N)Nc1ccccc1	Training	0
94	-	O=S(=O)(OCC)OCC	Training	0
95	-	O=C(N)c1ccccc1(O)	Training	0
96	-	O=C(O)c1ccccc1	Training	0
97	-	O=S(=O)(OC)C	Training	0
98	-	n2cccc3ccc1cccnc1c23	Training	0
99	-	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	0
100	-	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	0
101	-	O=C(O)Cc2cc(c(Oc1cc(c(O)c(c1)I)I)c(c2)I)I	Training	0
102	-	O=S(C)C	Training	0
103	-	O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	0
104	-	O=C(O)CS	Training	0
105	-	O=CN(C)C	Training	0
106	-	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C#C))))C3CC4	Training	2
107	-	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4	Training	2
108	-	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	Training	0
109	-	O=S(=O)(N)c1ccc(cc1)C	Training	0
110	-	OCCC	Training	0
111	-	C#CC3(O)(CCC2C4CCc1cc(OC)ccc1C4(CCC23(C)))	Training	2
112	-	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	2
113	-	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	0
114	-	O=C(NCCc2c[nH]c1ccc(OC)cc12)C	Training	0
115	-	N(C)C	Training	0
116	-	N(C)(C)C	Training	0
117	-	O=[As](O)(C)C	Training	0
118	-	NC(C)(C)C	Training	0
119	-	N#CC(O)(C)C	Training	0
120	-	O=S(=O)(O)OC	Training	0
121	-	O=C(O)C(C)(Cl)Cl	Training	0
122	-	O=C(O)C(Cl)(Cl)Cl	Training	0
123	-	O=C1CC2CCC1(C)C2(C)(C)	Training	0
124	-	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	0
125	-	O=C(OC1CC2CCC1(C)C2(C)(C))C	Training	0
126	-	O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	Training	0
127	-	O=C(O)C4C2C1(OC(=O)C2(C)(C(O)C=C1))C5CCC3(O)(C(=C)CC45(C3))	Training	0
128	-	O=C3OC(c1ccc(O)cc1)(c2ccc(O)cc2)c4ccccc34	Training	2
129	-	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)CC	Training	2
130	-	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	0
131	-	O=C1N(C(=O)C(N1Br)(C)C)Br	Training	0
132	-	O=C1NC(=O)C(N1)(C)C	Training	0
133	-	C2=CC3C1C=CC(C1)C3(C2)	Training	0
134	-	O=S(=O)(OC)OC	Training	0
135	-	O=C(OCC)C2OC2(c1ccccc1)(C)	Training	0
136	-	OCC(N)(CO)CO	Training	0
137	-	O=C(OC(C(=O)OCCCC)(CC(=O)OCCCC)CC(=O)OCCCC)C	Training	0
138	-	O=C(OCC)CC(O)(C(=O)OCC)CC(=O)OCC	Training	0
139	-	O(CC)[Si](OCC)(OCC)CC	Training	0
140	-	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	Training	0
141	-	O=P(Oc1ccc(cc1)C)(Oc2ccc(cc2)C)Oc3ccc(cc3)C	Training	0
142	-	O=P(OCC)(OCC)OCC	Training	0
143	-	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	0
144	-	O=P(SCCCC)(SCCCC)SCCCC	Training	0
145	-	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	0
146	-	O=C1C=C(C)CC(C)(C)C1	Training	0
147	-	OC(C)(CC)CCCC(C)C	Training	0
148	-	OC(C=C)(C)CCC=C(C)C	Training	0
149	-	N#CC(C)C	Training	0
150	-	OC(C)CN	Training	0
151	-	O=C(N)C=C	Training	0
152	-	O=C(O)CCl	Training	0
153	-	O=C(O)CO	Training	0
154	-	O=C(NC)C	Training	0
155	-	O=[N+]([O-])CC	Training	0
156	-	O=C(N)C(=C)C	Training	0
157	-	O=C(O)C(=C)C	Training	0
158	-	O=C(O)C(Cl)Cl	Training	0
159	-	O=C(N(C)C)Cl	Training	0
160	-	O=C(N)C3C(=O)C(N(C)C)C4C(O)C2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	Training	0
161	-	O=C(C=CC1=C(C)CCCC1(C)C)C	Training	0
162	-	C=C2C1CCC(C1)C2(C)C	Training	0
163	-	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	0
164	-	Oc1c(cc(cc1Cl)C(c2cc(c(O)c(c2)Cl)Cl)(C)C)Cl	Training	2
165	-	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	2
166	-	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	0
167	-	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Training	0
168	-	O=S(=O)(c1ccc(O)cc1)c2ccc(O)cc2	Training	2
169	-	OOC(c1ccccc1)(C)C	Training	0
170	-	O=C(OC(C)(C)C1CC=C(C)CC1)C	Training	0
171	-	O=C(OC(C)(C)C1CC=C(C)CC1)CC	Training	0
172	-	O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C	Training	2
173	-	Oc1ccc(cc1)C(C)(C)CC	Training	2
174	-	O=CC(C)Cc1ccc(cc1)C(C)(C)C	Training	0
175	-	C1=C(C)C2CC(C1)C2(C)(C)	Training	0
176	-	O=C2Oc1ccccc1C(=O)C2C(c3ccccc3)CC(=O)C	Training	0
177	-	O=C(O)c1ccccc1c3c4ccc(cc4([o+]c2cc(ccc23)N(CC)CC))N(CC)CC	Training	0
178	-	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0
179	-	c2cc1cccc3c1c(c2)CC3	Training	0
180	-	O=[N+]([O-])c1cccc(c1C)C	Training	0
181	-	O=C1NC(=O)N(c2ncn(c12)C)C	Training	0
182	-	O=C3N=C2C(=Nc1cc(c(cc1N2CC(O)C(O)C(O)CO)C)C)C(=O)N3	Training	0
183	-	Oc1ccc(cc1)C(CC)C(c2ccc(O)cc2)CC	Training	2
184	-	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	0
185	-	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	0
186	-	O=C(OCCCCCC)c1ccccc1(C(=O)OCCCCCC)	Training	0
187	-	c1ccc3c(c1)ccc2ccccc23	Training	0
188	-	O=C1NC(=O)C2CC=CCC12	Training	0
189	-	O=C1NC(=O)c2ccccc12	Training	0
190	-	O=S(=O)(O)c2cccc1ccccc12	Training	0
191	-	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	0
192	-	c1ccc3c(c1)c2ccccc2C3	Training	0
193	-	O=C2Oc1cc(ccc1C(=C2)C)N(C)C	Training	0
194	-	O=C(OCC)c1ccccc1C	Training	0
195	-	O=C(OCC)c1ccccc1(N)	Training	0
196	-	Nc1cccc(c1C)C	Training	0
197	-	c1cc(c(c(c1)Cl)Cl)Cl	Training	0
198	-	Nc1c(cccc1C)C	Training	0
199	-	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	0
200	-	O=C(O)C(O)C(O)C(=O)O	Training	0
201	-	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0
202	-	O=C1N(C(=O)N(C(=O)N1Cl)Cl)Cl	Training	0
203	-	Oc1c(cc(cc1Cl)Cl)Cl	Training	0
204	-	O=C1N(C=C)CCC1	Training	0
205	-	Oc1ccccc1C(C)(C)C	Training	0
206	-	O=S(=O)(O)c1ccccc1C	Training	0
207	-	Oc1c(cc(cc1C(C)(C)C)CC)Cc2cc(cc(c2(O))C(C)(C)C)CC	Training	0
208	-	O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Training	0
209	-	O=C(OC1CCCCC1C(C)(C)C)C	Training	0
210	-	O=C(OCC(C)C)CC(C(=O)OCC(C)C)S(=O)(=O)O	Training	0
211	-	Oc1cc(c(O)cc1C(C)(C)C)C(C)(C)C	Training	0
212	-	O=S(=O)(O)c1ccc(cc1C)C	Training	2
213	-	Oc1ccccc1C(C)C	Training	0
214	-	O=[N+]([O-])c1ccccc1C	Training	0
215	-	O=[N+]([O-])c1ccccc1(N)	Training	0
216	-	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	0
217	-	O=C(O)c1ccccc1(C(=O)O)	Training	0
218	-	O=C(OCCCCCCCC)c1ccc(C(=O)OCCCCCCCC)c(c1)C(=O)OCCCCCCCC	Training	0
219	-	O=C(OC)c1ccccc1C	Training	0
220	-	Oc1ccccc1C(C)CC	Training	0
221	-	OC1CC(C)CCC1(C(C)C)	Training	0
222	-	Oc1cc(ccc1C(C)C)C	Training	0
223	-	O=[N+]([O-])c1ccc(cc1C)C	Training	0
224	-	Oc1ccccc1CC	Training	0
225	-	O=Cc1ccccc1(O)	Training	0
226	-	O(c1ccccc1(N))C	Training	0
227	-	Oc1ccccc1(OC)	Training	0
228	-	c1ccc2c(c1)cccc2C	Training	0
229	-	Oc1ccccc1c2ccccc2	Training	0
230	-	Oc1c(cc(cc1CN(C)C)CN(C)C)CN(C)C	Training	0
231	-	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	0
232	-	c1ccc2ccccc2(c1)	Training	0
233	-	n1cccc2ccccc12	Training	0
234	-	O=Cc1ccccc1S(=O)(=O)O	Training	0
235	-	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	0
236	-	Nc1ccc2ccccc2(c1)	Training	0
237	-	n1cccc2cc(ccc12)C	Training	0
238	-	O=C1Oc2ccccc2(C=C1)	Training	0
239	-	c1ccc(cc1)N(CC)CC	Training	0
240	-	Oc2ccc(c1ccccc1)c(c2)Cl	Training	2
241	-	c1ccc(cc1)c2ccccc2	Training	0
242	-	Oc1ccc(cc1)c2ccccc2	Training	2
243	-	c1ccc3c(c1)Nc2ccccc2S3	Training	0
244	-	O=C(c1ccc2ccccc2(c1))C	Training	0
245	-	O(c1ccc(cc1(OC))CC=C)C	Training	0
246	-	OCC(O)c1ccccc1	Training	0
247	-	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	0
248	-	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	0
249	-	O=C(OCC)c1ccccc1	Training	0
250	-	O=C(OC(c1ccccc1)C)C	Training	0
251	-	O=C(Oc1ccccc1)c2ccccc2	Training	0
252	-	O=C(OCC)c1ccc(cc1)C	Training	0
253	-	O=C(OCC)c1ccc(N)cc1	Training	0
254	-	O=C(OCCC)c1ccc(O)cc1	Training	2
255	-	O=C(OCc1ccccc1)c2ccc(O)cc2	Training	2
256	-	O=C(OCCCC)c1ccc(O)cc1	Training	2
257	-	O=C(OCCOCCOCCOC(=O)C(CC)CCCC)C(CC)CCCC	Training	0
258	-	O1c2ccc(cc2(OC1))CC=C	Training	0
259	-	O=C(OC)C1CCC(C(=O)OC)CC1	Training	0
260	-	Oc1ccccc1(OCC)	Training	0
261	-	O=C(O)COc1ccc(cc1C)Cl	Training	0
262	-	O=C(O)COc1ccc(cc1Cl)Cl	Training	0
263	-	O=C(OCCCC)COc1ccc(cc1Cl)Cl	Training	0
264	-	O=C(O)CCCOc1ccc(cc1C)Cl	Training	0
265	-	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	0
266	-	Oc2ccccc2(C=NCC(N=Cc1ccccc1(O))C)	Training	0
267	-	OCC(CC)C(O)CCC	Training	0
268	-	n1nc2ccccc2([nH]1)	Training	0
269	-	n1csc2ccccc12	Training	0
270	-	OCCN1C(=NCC1)CCCCCCCC=CCCCCCCCC	Training	0
271	-	Oc1ccccc1C	Training	0
272	-	c1ccc(c(c1)C)Cl	Training	0
273	-	c1ccc(c(c1)Cl)Cl	Training	0
274	-	Nc1ccccc1C	Training	0
275	-	Nc1ccccc1(N)	Training	0
276	-	Oc1ccccc1Cl	Training	0
277	-	c1cc(c(cc1C)C)C	Training	0
278	-	Oc1ccc(c(c1)C)C	Training	0
279	-	Nc1ccc(c(c1)Cl)C	Training	0
280	-	Nc1ccc(c(c1)Cl)Cl	Training	0
281	-	Nc1ccc(c(N)c1)C	Training	0
282	-	Nc1ccc(cc1(N))Cl	Training	0
283	-	Oc1cc(ccc1C)C	Training	0
284	-	c1c(c(cc(c1C)C)C)C	Training	0
285	-	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	0
286	-	Oc1cc(c(cc1Cl)Cl)Cl	Training	0
287	-	O1CC1c2ccccc2	Training	0
288	-	C(C(CCl)Cl)Cl	Training	0
289	-	OC(CCl)CCl	Training	0
290	-	OCC(O)CCl	Training	0
291	-	O=NC(C)CC	Training	0
292	-	C=1C=CC(C=1)C	Training	0
293	-	OC1CCCC1	Training	0
294	-	N1C(NCC1)=S	Training	0
295	-	O=C1OCCC1	Training	0
296	-	Oc1ccc(cc1C(C)(C)C)CC	Training	0
297	-	Oc1ccc(cc1C(C)(C)C)C(C)(C)C	Training	0
298	-	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl	Training	0
299	-	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	0
300	-	O=[N+]([O-])c1ccc(N)c(OC)c1	Training	0
301	-	O=C(N)NC1NC(=O)NC1(=O)	Training	0
302	-	C(N(CC)CC)(=S)SSC(N(CC)CC)=S	Training	0
303	-	O=C(O)CN(C(=O)CCCCCCCCCCC)C	Training	0
304	-	OCC1OCCC1	Training	0
305	-	OCc1occc1	Training	0
306	-	O=Cc1occc1	Training	0
307	-	c1ccc(cc1)C(C)(C)C	Training	0
308	-	c1ccc(cc1)C(Cl)(Cl)Cl	Training	0
309	-	c1cc(ccc1C)C(C)(C)C	Training	0
310	-	OC1CCC(CC1)C(C)(C)C	Training	0
311	-	O=C1CCC(CC1)C(C)(C)C	Training	0
312	-	Oc1ccc(cc1)C(C)(C)C	Training	2
313	-	OC(C)(C)C1CC=C(C)CC1	Training	0
314	-	FC(F)(F)c1ccc(cc1)Cl	Training	0
315	-	O=C(c1ccccc1)C	Training	0
316	-	c1ccc(cc1)C(Cl)Cl	Training	0
317	-	O=C(N)c1cnccc1	Training	0
318	-	O=[N+]([O-])c1ccccc1	Training	0
319	-	Oc1cccc(c1)N(C)C	Training	0
320	-	O=[N+]([O-])c1cccc(c1)C	Training	0
321	-	O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl	Training	0
322	-	O=C1C(=CCC(C(=C)C)C1)C	Training	0
323	-	O=[N+]([O-])c1ccc(c(c1)C)C	Training	0
324	-	O=[N+]([O-])c1ccc(c(c1)Cl)Cl	Training	0
325	-	O=[N+]([O-])c1ccc(c(N)c1)C	Training	0
326	-	O=[N+]([O-])c1ccc(OC)c(N)c1	Training	0
327	-	c1cc(cc(c1)C(C)C)C(C)C	Training	0
328	-	O=C(c1cccc(c1)C(=O)Cl)Cl	Training	0
329	-	O=[N+]([O-])c1cccc(c1)[N+](=O)[O-]	Training	0
330	-	O=C(O)C(CCC)CCC	Training	0
331	-	Oc1ccc(cc1)C(C)CC	Training	2
332	-	O=C(OC)c1ccc(O)cc1	Training	0
333	-	C1=C(C)CC=C(C1)C(C)C	Training	0
334	-	C=1C=C(CCC=1C)C(C)C	Training	2
335	-	c1cc(ccc1C)C(C)C	Training	0
336	-	O=C(c1ccc(O)cc1)C	Training	0
337	-	O=C(O)c1ccc(O)cc1	Training	0
338	-	c1cc(ccc1N(C)C)C	Training	0
339	-	O=[N+]([O-])c1ccc(cc1)C	Training	0
340	-	O=[N+]([O-])c1ccc(cc1)Cl	Training	0
341	-	O=[N+]([O-])c1ccc(N)cc1	Training	0
342	-	O=[N+]([O-])c1ccc(O)cc1	Training	0
343	-	O=C(O)c1ccc(cc1)C(=O)O	Training	0
344	-	OCCN(CC)CC	Training	0
345	-	OCc1ccccc1	Training	0
346	-	N#Cc1cnccc1	Training	0
347	-	O=NC1CCCCC1	Training	0
348	-	N12(CN3CN(C1)CN(C2)C3)	Training	0
349	-	O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3	Training	0
350	-	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	0
351	-	O=C(O)C(Oc1cccc(c1)Cl)C	Training	0
352	-	O=C(Nc1ccc(cc1)Cl)Nc2ccc(c(c2)Cl)Cl	Training	0
353	-	O=C(OC(C)C)Nc1cccc(c1)Cl	Training	0
354	-	n1c(nc(nc1OCC=C)OCC=C)OCC=C	Training	0
355	-	O=C(Nc1ccccc1)N(C)C	Training	0
356	-	Nc1ccc(cc1)Nc2ccccc2	Training	0
357	-	O(c1ccccc1)c2ccc(cc2)Br	Training	0
358	-	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	0
359	-	O=C=Nc1ccc(cc1)Cc2ccc(N=C=O)cc2	Training	0
360	-	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	0
361	-	O(c1ccc(N)cc1)c2ccc(N)cc2	Training	0
362	-	c1ccc(cc1)Cc2ccccc2	Training	0
363	-	O(c1ccccc1)c2ccccc2	Training	0
364	-	O=CC(=Cc1ccccc1)CCCCCC	Training	0
365	-	N=C(Nc1ccccc1)Nc2ccccc2	Training	0
366	-	c1cc(cc(c1)C)NCC	Training	0
367	-	OC(C)CN(CCN(CC(O)C)CC(O)C)CC(O)C	Training	0
368	-	OCCN(CCO)CCO	Training	0
369	-	N(CCCC)(CCCC)CCCC	Training	0
370	-	O=C(OCC(CC)CCCC)C	Training	0
371	-	O=C(OCC(CC)CCCC)C=C	Training	0
372	-	O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC	Training	0
373	-	O=C(OCC(CC)CCCC)CCCCCCCC(=O)OCC(CC)CCCC	Training	0
374	-	N(=Nc1ccccc1)c2ccccc2	Training	0
375	-	O1CCN(CC1)SSN2CCOCC2	Training	0
376	-	O=C(OCc1ccccc1)C=Cc2ccccc2	Training	0
377	-	c1ccc(cc1)CCC	Training	0
378	-	c1ccc(cc1)NCC	Training	0
379	-	OCCN1CCNCC1	Training	0
380	-	O=C(Nc1ccc(O)cc1)C	Training	0
381	-	Nc1ccc(cc1)CCCC	Training	0
382	-	O=S(=O)(O)c1ccc(cc1)C	Training	0
383	-	Oc1ccc(cc1)CCCCCCCCCCCC	Training	2
384	-	O(c1ccc(cc1)CCC)C	Training	0
385	-	O(c1ccc(cc1)C=CC)C	Training	0
386	-	c1ccc(cc1)CCCC	Training	0
387	-	OCC=Cc1ccccc1	Training	0
388	-	O=C1OC(CC1)CCCCC	Training	0
389	-	O(c1ccccc1)CCOc2ccccc2	Training	0
390	-	O=C1OC(CC1)CCCCCCC	Training	0
391	-	OCC(CC)CCCC	Training	0
392	-	O(c1ccc(N)cc1)C	Training	0
393	-	O=C1OC(CC1)CCC	Training	0
394	-	O=C(OCC)CC	Training	0
395	-	O=C(OCC)CC(=O)OCC	Training	0
396	-	O=C(OCC)CCC	Training	0
397	-	N(C(NCC)=S)CC	Training	0
398	-	O=C1NCCCCC1	Training	0
399	-	Oc1ccc(cc1C)C	Training	0
400	-	O=C(OCC=C(C)CCC=C(C)C)C	Training	0
401	-	O=C(OCCCC)CCCCC(=O)OCCCC	Training	0
402	-	OCCC(C)CCC=C(C)C	Training	0
403	-	O=CCC(C)CCC=C(C)C	Training	0
404	-	OCC=C(C)CCC=C(C)C	Training	0
405	-	O=C(OCCC(C)C)CCC	Training	0
406	-	O=C(OCC)CCCCCC	Training	0
407	-	c1cc(ccc1C)Cl	Training	0
408	-	Oc1ccc(cc1)C	Training	0
409	-	c1cc(ccc1C)S	Training	0
410	-	c1cc(ccc1Cl)Cl	Training	0
411	-	Nc1ccc(cc1)Cl	Training	0
412	-	Nc1ccc(cc1)C	Training	0
413	-	O=C(OC)CCC(=O)OC	Training	0
414	-	O=C(CC)CCCCC	Training	0
415	-	O1CC1C2CCC3OC3(C2)	Training	0
416	-	C(CBr)Br	Training	0
417	-	OCCCl	Training	0
418	-	N#CC=C	Training	0
419	-	NCCN	Training	0
420	-	OCC=C	Training	0
421	-	O=CCCl	Training	0
422	-	OCCO	Training	0
