@relation model

@attribute SdssC numeric
@attribute SHssNH numeric
@attribute icycem numeric
@attribute BEHm1 numeric
@attribute BELv1 numeric
@attribute BELv8 numeric
@attribute BELp3 numeric
@attribute MATS4v numeric
@attribute MATS1p numeric
@attribute MATS4p numeric
@attribute GATS2m numeric
@attribute GATS3v numeric
@attribute GATS1p numeric
@attribute Tox {N,D}

@data
0,2.103468,0.986368,4.684618,2.095428,0.205053,1.35752,-0.309465,-0.63464,0.006233,0.884787,1.0523,1.741811,D
1.597339,0,0.764205,4.029716,2.024295,0.996041,1.862967,0.040625,-0.084225,0.074342,0.72288,0.680233,0.941406,D
0,0,0.899744,3.957917,2.001636,0.930127,1.740733,-0.12532,-0.086538,-0.069718,0.745292,0.804706,1.054242,N
-0.734444,4.035257,0.936667,4.630802,2.013599,0.535668,1.547986,0.213219,-0.556161,0.290695,1.02742,1.366399,1.577734,D
-6.719749,0,0.884964,4.083067,2.09838,1.146133,1.682143,-0.007375,-0.020793,0.006894,0.639181,0.98489,0.667184,D
-0.453513,2.106829,0.875663,4.62811,2.027559,0.746357,1.601285,-0.231049,-0.41014,-0.178626,0.662501,1.039813,1.30582,D
0.50375,5.200087,0.873981,3.947135,1.794305,0.710149,1.573457,0.209178,-0.103995,0.099549,0.901571,1.32392,1.009465,N
1.764037,0,0.735509,4.022986,2.021043,0.996041,1.858238,-0.037856,-0.057316,0.013823,0.751676,0.536291,1.012332,D
0,0,0.983376,4.008646,1.982906,0.964846,1.772201,0.294118,-0.094909,0.073403,0.682856,1.248649,1.207605,D
0,0,0.778011,4.070695,2.065176,0.996041,1.824796,-0.110672,-0.059271,-0.171502,0.652867,1.037549,0.993921,N
-1.990659,2.150515,0.693469,4.117123,1.941889,1.117029,1.728765,-0.26753,0.040458,-0.326462,1.060769,0.79695,0.684082,N
0,0,0.998965,4.071259,2.087613,0.954976,1.641637,-0.214145,-0.134373,-0.216364,0.812328,0.74972,0.907969,D
0.834569,0,0.95008,3.987844,2.07147,1.170849,1.728661,-0.078307,0.024631,-0.078307,0.644841,0.682002,0.533662,D
0.27862,0,0.91598,3.989008,2.071505,1.25964,1.740183,-0.09058,-0.014946,-0.09058,0.67893,0.664329,0.643569,D
-0.30213,0,0.918296,3.88568,1.982706,0,1.056689,-0.236111,-0.083333,-0.236111,0.763889,1.09127,0.763889,D
-4.914469,0,0.752212,3.95513,2.005829,1.172861,1.731443,0.007905,-0.121034,0.007905,1.004102,0.894737,0.898942,N
-1.61915,1.976707,0.793591,4.11093,1.972166,1.076306,1.703341,-0.622273,-0.015179,-0.636552,1.473914,0.789404,0.733196,N
0,0,0.946183,3.982638,2.093836,0.959007,1.527373,-0.051443,-0.061876,-0.054012,0.759798,0.785227,0.750768,D
0,4.013638,0.873172,4.684013,2.10332,0.782304,1.61705,-0.266473,-0.638352,-0.003564,0.81536,1.060744,1.689326,D
3.088889,0,0.97245,4.010099,2.017557,0.937346,1.826709,0.019305,-0.078095,0.019305,0.628571,0.275,1.32,N
-0.640895,0,0.908178,3.830411,1.896883,0.578966,1.553998,0.00643,-0.298114,0.022454,0.918788,1.037439,1.127204,D
-2.069174,0,0.816916,4.077752,2.103246,1.325486,1.891895,-0.086167,-0.063899,-0.081543,0.896395,1.044175,0.79477,D
-6.676628,0,0.896038,4.071718,2.091661,1.138149,1.678264,-0.042725,-0.020654,-0.030166,0.648048,1.018331,0.672374,D
-1.742859,4.03118,0.881291,10.679343,1.92128,0.494091,1.548653,0.074075,0.00889,0.205024,0.786589,1.090387,0.502883,D
0.778059,0,0.954434,4.01075,1.990814,0.802816,1.672557,-0.173696,-0.084441,-0.119213,0.668364,0.841854,0.787563,D
0.06412,0,0.983376,3.975003,1.977883,0.963722,1.744642,-0.131152,-0.246449,-0.135159,0.737997,1.071579,1.154108,D
-2.084418,2.168202,0.680077,4.124273,1.935736,1.117029,1.728119,-0.241113,0.042358,-0.26751,0.952898,0.770176,0.663279,N
-2.336022,0,0.872988,3.971923,2.028328,0.856803,1.659337,0.074561,-0.06015,0.074561,0.770218,1.258581,0.75188,D
0.130793,0,0.845351,3.82436,2.014019,1.271686,1.787899,-0.308269,-0.122759,-0.304644,0.667971,1.061508,0.940563,N
2.191092,0,0.881291,3.924504,2.006082,0.996041,1.633414,0.031746,0.005291,0.031746,0.753968,0.703704,0.502645,D
0.207685,0,0.970951,3.832731,1.957956,0.662752,1.464877,-0.245283,-0.120585,-0.244823,1.005548,0.969125,0.879618,N
-1.158774,0,0.805125,3.986935,2.00862,0.996041,1.8357,0.331401,0.013493,0.331401,0.68929,1.256039,0.487256,D
0,0,0.899744,3.884969,1.99938,0.996041,1.762956,-0.262926,-0.145827,-0.257626,1.033388,1.240555,1.162768,N
-1.930582,0,0,4.60454,1.943595,1.321938,1.791853,0.198741,-0.472373,0.040626,0.872227,1.313843,1.510758,D
1.396343,0,0.991076,4.088904,1.991884,0.941789,1.763617,0.025993,0.002732,-0.027565,1.019526,0.382331,0.98494,D
-2.508501,0,0.806627,4.078116,2.103345,1.339981,1.892492,-0.078822,-0.061428,-0.074713,0.884087,1.008666,0.802355,D
0,0,0.881291,3.904595,2.007412,0.959962,1.763004,-0.281332,-0.200161,-0.276656,1.304241,0.954622,1.18673,N
-0.088067,1.998993,0.77935,3.8956,2.002569,1.181478,1.879201,-0.187606,-0.13475,-0.191646,0.745369,1.071243,0.954974,N
0,1.517753,1,3.81661,1.959763,0.286436,1.318149,-0.348367,-0.078261,-0.351204,0.862847,1.106118,0.721739,D
0,0,0.998846,3.974597,2.073221,0.937305,1.666911,-0.037037,0.014493,-0.037037,0.58642,0.811966,0.458937,D
0.511531,0,0.998846,3.976577,2.072496,0.905381,1.646138,-0.037037,0.014493,-0.037037,0.58642,0.811966,0.458937,D
-1.011057,0,0.899744,4.070706,1.938392,0.642885,1.569306,-0.138667,-0.042512,-0.198563,0.837247,0.687931,0.65905,D
0,3.091198,0,3.590217,1.873344,0.705945,1.51579,-0.329295,-0.196818,-0.327487,0.876205,0.654772,0.912565,N
0,0,0,3.163341,1.615846,0,0.292293,0,-0.25,0,1.5,0,0.75,D
0,0,0.988284,3.986217,2.073958,1.008171,1.700405,-0.022222,0.012,-0.022222,0.721875,0.878804,0.462,D
-0.058796,0,0.926819,3.884926,1.983903,0.921095,1.707672,-0.263423,-0.143432,-0.262501,0.607449,1.04645,0.950093,D
1.522048,0,0.988284,3.955998,2.065079,1.081305,1.703686,-0.022222,0.012,-0.022222,0.721875,0.878804,0.462,D
1.048727,0,0.927527,3.965162,2.066554,1.247622,1.736788,-0.031447,-0.05914,-0.031447,0.738281,0.644318,0.762097,D
-0.840869,0,0.918296,3.881611,1.985591,0.820241,1.583611,-0.22,-0.052632,-0.22,0.816,1.133333,0.715789,D
0.230496,0,0.79504,3.863161,2.003729,0.996637,1.836052,0.011539,-0.130945,0.031189,0.832495,1.210742,0.991378,D
-0.036164,0,0.910878,3.981937,2.010829,0.853481,1.690364,-0.143594,0.126091,-0.14441,0.679969,0.892586,0.579395,D
-2.699306,3.915639,0.918296,3.712473,1.832297,0,1.063663,-0.313682,-0.331568,-0.324542,0.913603,1.083147,1.137271,D
0,1.545755,0.845351,3.878793,1.983779,0.996041,1.70127,-0.147989,-0.070702,-0.14301,0.543766,1.096078,0.723501,D
0,0,0,2.942842,1.321941,0,0,0,-1,0,0,0,1,N
-0.544161,0,0.896038,3.893421,1.749587,0.0737,1.526027,-0.405159,-0.101987,-0.412721,0.865394,0.825493,0.947164,D
3.676607,0,0.749595,3.985538,2.053714,1.117029,1.901723,0.04,-0.216,0.04,0.72,0.672,1.512,D
0.041369,0,0.77935,3.95633,2.00557,0.996041,1.803632,-0.016397,-0.036806,0.008407,0.722669,1.04383,0.614813,D
0.424938,0,0.952609,4.332742,1.736344,0,1.255981,1,0.073684,-0.002551,0.888163,0,0.715789,N
-0.689609,0,0.966062,4.075255,2.0885,1.184293,1.682342,-0.193487,-0.151613,-0.195736,0.819212,0.658025,0.92394,D
-1.446399,1.887881,0.721928,4.122972,1.948126,1.117029,1.746827,-0.490963,-0.046673,-0.508782,1.377574,0.703801,0.772373,N
0.283015,0,0.998965,4.066948,2.086357,0.972284,1.639194,-0.214145,-0.134373,-0.216364,0.812328,0.74972,0.907969,D
-0.939815,1.851389,0,3.371585,1.607176,0,0.488326,0,-0.435012,0,1.070404,0.21028,1.53103,D
0,0,0.77935,3.968081,2.02601,0.996041,1.825016,-0.109284,-0.131811,-0.096226,0.753865,0.242265,0.959335,D
0,0,0.991076,3.957621,1.987198,0.983674,1.773353,0.32977,-0.183066,0.32977,1.06961,1.263158,1.441648,D
-1.189922,0,0.826746,4.127104,2.007121,0.996041,1.760621,-0.220664,-0.081268,-0.193099,0.674458,0.804455,0.745263,N
-1.130287,0,0.881291,10.679339,1.924719,0.578422,1.540928,0.506046,0.010802,0.502392,0.783337,1.090894,0.510847,D
-1.566819,3.86958,0.863121,10.679345,1.929443,0.5125,1.571562,-0.037826,0.008452,0.146249,0.792749,0.99777,0.503238,D
0,0,1,10.673058,1.696556,0,1.213309,0.33081,0.008737,0.05966,0.788042,1.478292,0.504615,D
0,0,0.988111,10.67626,2.050369,0,1.083855,-0.008811,0.017449,0.077853,0.715916,1.035119,0.477281,D
-0.73961,0,0.936667,10.679337,1.921271,0.39132,1.341729,0.498657,0,0.568755,0.819345,1.054229,0.520775,D
-1.877322,3.866752,0.881291,10.679343,1.923345,0.456717,1.54218,-0.170374,0.00889,0.027421,0.78651,0.968454,0.502883,D
-0.774544,0,0.899744,10.679338,1.916415,0.590752,1.573257,0.471542,0.020438,0.51272,0.832575,1.091653,0.526624,D
-0.263368,0,0.77935,3.946913,2.051067,1.117029,1.8357,-0.185573,-0.100319,-0.188139,0.655223,0.764829,0.900894,D
0,1.583215,0.970951,3.85524,1.964538,0.6209,1.475044,-0.398154,-0.065862,-0.403723,0.971165,0.956918,0.717475,D
0,0,0.684038,3.832863,1.99295,1.265188,1.875169,-0.06937,-0.173714,-0.067164,1.19675,0.953765,1.078192,D
0,0,0.981008,4.001118,2.118412,0.992902,1.708904,-0.052724,-0.059631,-0.056344,0.7297,0.670588,0.753513,D
0.061204,1.878444,0.936667,3.865948,1.980838,0.748635,1.470561,-0.292193,-0.178582,-0.291142,0.791301,0.633802,0.980917,N
0,0,1,4.122437,1.823155,0,1.100853,1,0,0,1.222222,0,0.916667,N
-0.176319,2.055243,0.940286,4.037435,1.981647,0.665004,1.671305,-0.214527,-0.040778,-0.172364,0.703789,0.579343,0.613104,D
1.774363,0,0.994694,3.953207,2.06384,1.063226,1.699797,-0.011765,0.00625,-0.011765,0.828947,1.193182,0.4375,D
-1.008623,0,0,4.761036,1.795755,0.817302,1.503249,-0.401328,0.083844,-0.382351,1.313755,1.006432,1.120872,N
0,1.456455,0.970951,4.060081,2.141018,0.929457,1.737539,0.021622,-0.0375,0.021622,0.3,0.2625,0.875,N
0,0,0,3.723619,1.785748,0,1.185614,0.142857,0.042538,-0.071945,0.68817,1.333333,1.057946,D
-1.011113,2.023958,0.899744,4.054251,1.986607,0.603053,1.341009,0.174826,-0.020003,0.324117,0.748323,0.996229,0.558292,D
1.632909,0,0.960818,3.983875,2.081408,1.213597,1.724043,-0.049165,0.01461,-0.049165,0.676983,0.717703,0.487013,D
-0.990756,0,0.899744,3.876965,1.983893,0.80049,1.585927,0.00376,-0.060324,0.02587,0.452772,0.685011,0.674938,D
-1.709022,2.064656,0.918296,3.913119,2.007023,0.791179,1.527707,0.265625,-0.145371,0.250377,0.406407,1.288205,0.83255,D
-1.673328,0,0,3.66428,1.892093,0.5598,1.56861,0.134554,-0.299884,0.127846,0.410956,1.305069,1.150164,D
0.641204,3.591284,0.918296,4.020285,1.817408,0,1.080425,-0.273895,-0.120534,-0.503423,0.661148,0.946182,0.694801,D
0,0,0.980219,3.988392,2.075126,1.064522,1.70469,-0.02005,-0.031136,-0.02005,0.734611,0.878472,0.695055,D
0,0,1,3.836131,1.961529,0.36779,1.173474,-0.373607,0,-0.38023,0.894698,1.116559,0.605794,D
0.281111,0,0.828056,3.94491,2.036592,0.996041,1.785732,-0.113654,-0.067851,-0.113691,0.723311,0.970659,0.821618,N
0.690185,0,0.949452,3.963353,2.038481,0.72416,1.555427,-0.076475,-0.124351,-0.075039,0.698638,1.353124,0.874408,D
-1.523727,1.986847,0.985228,3.819021,1.947211,0.609713,1.422277,0.283333,-0.25,0.265152,0.459058,1.423951,0.965855,D
-1.952134,2.12604,0.744413,4.112348,1.977858,1.117029,1.702736,-0.160984,-0.077023,-0.257509,1.530611,0.891452,0.855087,N
0.763889,1.649228,0.863121,3.910444,1.627946,0,0.931766,0,-0.023504,0,0.671666,0.450588,0.688034,D
0,1.96567,0.948078,4.689039,2.106509,0.69886,1.44643,-0.204869,-0.654303,0.07071,0.840054,1.100352,1.71951,D
-0.212124,1.86336,0.881291,3.980928,1.956577,0.881216,1.563622,0.221297,-0.188013,0.246044,0.822989,1.076098,0.969734,N
-0.312855,1.946604,0.870864,4.628609,2.06671,0.928633,1.670766,-0.229471,-0.490254,-0.207553,0.671601,0.98577,1.444498,D
0,1.565822,0.899744,3.832077,1.960257,0.996041,1.62956,0.006348,-0.189187,0.02588,1.014091,0.719509,1.021477,D
0,0,0.979869,3.926432,1.859704,0,1.446499,-0.473468,-0.032948,-0.459662,0.750911,0.601307,0.809585,N
0,0,0.999955,4.068983,2.086944,0.912418,1.63883,-0.205744,-0.087327,-0.208358,0.800398,0.750807,0.767106,D
-0.065463,0,0.918296,3.889559,2.017623,0.902115,1.625396,-0.305664,-0.151984,-0.304837,0.601492,1.078894,0.954167,D
-1.802533,2.12875,0.757218,4.119242,2.099796,1.117029,1.710342,-0.286949,-0.033755,-0.381668,1.463364,0.767209,0.761229,N
0,0,0.969122,4.077763,2.098697,1.00678,1.850724,-0.138256,-0.061423,-0.143347,0.882064,0.939728,0.713398,D
-1.907983,0,0.986368,3.947582,2.021884,0.622094,1.529255,0.511052,-0.155619,0.516156,0.661923,1.128815,0.845459,D
0,0,0.995412,4.070828,2.089115,0.914629,1.702785,-0.177836,-0.082173,-0.180052,0.847456,0.79253,0.766044,D
0.040783,0,0.989923,4.07751,2.091421,0.964216,1.70106,-0.137258,-0.075007,-0.141069,0.880899,0.889751,0.741033,N
-0.807535,0,0.986368,4.022572,2.097678,0.66478,1.475349,-0.15,-0.055556,-0.15,0.518095,0.747253,0.719577,D
-0.941574,0,0.918296,3.789542,1.910799,0,0.904979,0.159615,-0.122921,0.232588,0.584792,1.307692,0.783784,N
-0.441574,0,0.918296,3.791825,1.916106,0,0.910938,0.3,-0.137591,0.347926,0.68895,1.299145,0.81501,N
-1.221926,0,0.840359,3.969207,2.035886,0.996041,1.707233,-0.082109,0.175149,-0.082973,0.709533,1.013796,0.532418,D
-0.831198,2.017612,0.940286,3.886837,1.745733,0.071834,1.516528,-0.602924,0.01503,-0.621648,1.003567,0.701316,0.895745,N
1.749289,0,0.988284,3.957052,2.061927,1.051671,1.698734,-0.022222,0.012,-0.022222,0.721875,0.878804,0.462,D
3.514611,0,0.988284,3.964707,2.063273,1.039233,1.701415,-0.022222,0.012,-0.022222,0.721875,0.878804,0.462,D
1.757125,0,0.980219,3.963162,2.064021,1.080761,1.699273,-0.035147,0.010989,-0.035147,0.734611,0.860544,0.46337,D
0.392275,0,0.755539,4.012087,2.091755,1.43518,1.850373,0.038809,-0.047226,0.038809,0.80611,0.877354,0.768366,N
-1.896901,2.132827,0.70741,4.114555,1.949767,1.117029,1.729284,-0.286632,0.038607,-0.362455,1.466788,0.82734,0.710061,N
1.036212,1.656942,0.86804,3.948297,2.026685,1.117029,1.559461,-0.221964,-0.090047,-0.218687,0.698054,0.979557,0.7891,D
0.052248,0,0.998965,4.075647,2.089278,0.910858,1.636786,-0.168635,-0.079027,-0.172805,0.842232,0.855184,0.746099,D
-0.420632,0,0.788513,3.939119,1.968657,0.996041,1.788375,-0.124016,0.011089,-0.139162,0.789881,1.186586,0.687201,D
-1.693048,1.847014,0,3.685922,1.88501,0.559429,1.430178,-0.171429,-0.130674,-0.169939,0.76919,1.226316,0.896419,N
-0.815417,0,0.99403,3.781771,1.795974,0,1.313817,0.00946,-0.355986,-0.004664,0.687869,1.310022,1.101143,D
0.501973,0,0.95008,3.994366,2.070233,1.139368,1.72432,-0.078307,0.024631,-0.078307,0.644841,0.682002,0.533662,D
-1.018519,0,0,3.827486,1.819217,0,1.068468,-1.236363,-0.008602,-1.16129,1.229917,0.851252,0.534409,D
-1.554926,1.98471,0.793591,4.110258,1.959067,0.980679,1.710802,-0.593491,-0.015299,-0.639222,1.534677,0.706362,0.722462,N
-1.798048,2.0298,0.776556,4.109802,1.936137,0.996041,1.718073,-0.57017,-0.046172,-0.616155,1.578836,0.676221,0.793459,N
1.400111,0,0.958712,3.979719,2.09547,1.117029,1.698613,-0.106342,-0.066633,-0.11304,0.750548,0.722172,0.786274,D
-1.655395,3.983969,0.954434,3.826681,1.962326,0.626412,1.507043,0.18824,-0.136767,0.169923,0.455967,1.203596,0.833925,D
0,0,0.889537,4.150775,2.026726,1.011202,1.772974,0.068626,-0.033757,0.027596,1.004576,0.509801,0.908388,D
-0.065593,1.823123,0.995727,3.827205,1.948707,0.260983,1.512435,-0.141311,-0.181975,-0.140974,1.059852,0.870986,0.949843,N
0,0,0.905928,3.982038,2.096547,0.996041,1.76197,-0.099891,-0.053732,-0.105991,0.746485,0.727088,0.760615,D
0,0,0.954434,3.868224,1.968469,0.517752,1.351532,0.101299,0.04385,0.101299,0.991736,1.309091,0.770053,N
-0.396528,0,0.836641,4.030217,2.023886,0.970662,1.85113,-0.127273,-0.022222,-0.127273,0.77625,1.019318,0.638889,D
-0.109392,0,0.918296,3.957845,2.029065,0.856555,1.638711,0.133333,-0.036232,0.133333,0.729167,1.188272,0.676329,D
0,1.520021,1,3.830967,1.956932,0.318548,1.30339,-0.504985,-0.082304,-0.510828,0.901089,0.980031,0.721594,D
0,0,0.99403,3.813584,1.95659,0.126865,1.158131,-0.301372,0,-0.308075,0.854149,1.180437,0.551492,D
-0.826291,4.095353,0.879136,3.957677,2.004883,0.834224,1.559341,-0.066788,-0.069864,-0.087568,0.406985,0.945919,0.710805,D
0,3.316591,0.950956,4.042438,1.97922,0.885986,1.642929,0.193205,-0.16803,0.217639,1.105355,0.935342,0.946124,D
0,2.776389,0,3.547013,1.869797,0,1.134424,0,-0.5,0,1.25,0,1.25,N
-5.018889,0,0,3.690112,1.841531,0.257402,1.324686,-0.435574,-0.097222,-0.435574,0.983193,1.160714,1.083333,N
-1.725287,0,0,3.653775,1.850057,0.390027,1.270119,-0.027211,-0.097222,-0.027211,1.276786,0.928571,1.083333,N
0.571628,0,0.95008,3.991116,2.075662,1.146875,1.725875,-0.078307,0.024631,-0.078307,0.644841,0.682002,0.533662,D
-0.435278,3.65709,0.954434,3.897766,2.003755,0.633182,1.502069,0.08004,-0.103475,0.072281,0.48348,1.261193,0.768538,D
-1.06674,0,0.899744,4.638883,2.044225,0.958265,1.587657,-0.31097,-0.532342,-0.119749,1.487581,1.255903,1.577243,D
-0.2943,0,0.936667,3.836635,1.949294,0.826708,1.516119,-0.488191,-0.207231,-0.481948,0.822141,1.044458,1.011513,N
-0.024884,4.984097,0.954434,3.854123,1.97048,0.720915,1.621675,-0.479715,0.042516,-0.479048,0.758907,1.181183,0.739704,D
0,0,0.916379,4.150648,2.0266,1.00819,1.772956,0.193674,-0.014967,0.0429,0.976738,0.859899,1.033854,D
0,0,0.987138,4.130866,2.031629,0.929457,1.784769,-0.080768,-0.00559,-0.000798,1.315604,1.039632,1.037711,D
-0.161676,0,0.79504,3.907173,2.017881,1.077788,1.774374,0.017098,-0.10733,0.027343,0.899763,1.311124,0.933744,D
1.18,3.609177,0.99403,3.903986,1.882462,0.016614,1.13168,-0.013046,-0.045995,-0.185893,0.688733,0.946802,0.605744,D
0,0,0.863121,3.865754,1.987951,0.996041,1.749285,-0.224948,-0.30305,-0.238689,0.860807,0.986053,1.333013,D
0,0,1,3.873251,1.970053,0.253785,1.360538,-0.236092,-0.090302,-0.228993,0.732885,1.054453,0.772923,N
-0.349846,3.748985,0.975119,4.628408,2.049957,0.649989,1.505957,-0.303402,-0.483515,-0.235328,0.726588,1.009035,1.466307,D
0,0,0.852405,4.033198,2.107278,1.1348,1.615942,-0.241009,-0.133597,-0.241897,0.7984,0.875338,0.924579,D
0.409137,3.543832,0.791858,3.9525,1.833297,1.037594,1.628557,0.212748,0.097849,0.274307,0.907949,0.754116,0.788957,N
-0.92183,1.983481,0.792765,4.114802,2.061383,1.449868,1.965855,-0.092376,-0.222594,-0.095968,0.743984,0.870173,1.074467,D
0,0,0.811278,3.791984,1.917286,0,1.025482,0.333333,0,0.333333,0.933333,1.333333,0.583333,N
-0.809728,0,0.873981,3.914802,1.791336,0.532901,1.652951,-0.086885,-0.289469,-0.07984,1.110608,0.739164,1.169632,D
-1.722255,2.164984,0.905452,3.99198,2.057994,1.034441,1.785249,0.203055,-0.166492,0.196068,0.7349,0.737195,0.909317,N
-0.688717,0,0,3.629093,1.886873,1.068185,1.732556,-0.092593,-0.008333,-0.092593,0.740741,0.818713,0.583333,N
0,1.675784,0.863121,3.852993,1.975757,0.996041,1.71524,-0.241927,-0.030371,-0.252502,0.873058,1.023278,0.634771,N
-1.789272,4.028969,0.936667,3.834073,1.964511,0.761624,1.565318,0.234483,-0.125509,0.21831,0.455377,1.210728,0.8163,D
-0.533081,3.493686,0.955759,3.883535,2.02393,1.050065,1.577163,-0.057209,-0.249536,-0.053683,1.136119,0.908918,1.068663,N
1.681334,0,0.900662,4.055006,2.072329,1.294691,1.697513,0.010111,0.009546,0.033626,0.980082,0.591577,0.645796,D
-0.669051,2.225175,0.899744,4.630711,2.034029,0.707003,1.573101,-0.079306,-0.528322,0.083517,1.05773,1.340843,1.534756,D
-0.62331,2.092647,0.985228,4.629811,2.025713,0.219617,1.365971,-0.112417,-0.547942,0.02376,1.140895,1.242704,1.648798,D
0,2.175994,0.908178,4.631997,2.02509,0.528411,1.614305,-0.315518,-0.416612,-0.210203,1.076043,1.154264,1.529017,D
-1.287486,2.210089,0.749595,4.631662,2.044897,0.980084,1.870148,-0.104712,-0.333776,0.018277,1.044394,1.29243,1.321473,D
