id	cas	smiles	status	exp values	predicted
48		Oc1c(ncc2coc(OCC)c12)C	Training	0.97	0.95
49		O=C(Oc1cccc2OCCOc12)NC	Training	-0.22	-0.6655433534
50		Oc1c(ncc2coc(OCCO)c12)C	Training	0.95	0.97
51		O=C(O)c1cc(ccc1(O))CC(N)C(=O)O	Training	1.35	1.2233658169
52		C2=CC3C1C=CC(C1)C3(C2)	Training	0.44	0.9792218711
53		O(c1cc(c(cc1Cl)Br)Cl)P(OCC)(OCC)=S	Training	-0.88	0.0344814641
54		O(c1cc(c(cc1Cl)I)Cl)P(OCC)(OCC)=S	Training	-0.5	-0.0579352211
55		O=[N+]([O-])c1ccc(OP(=O)(OCCCl)OCCCl)cc1	Training	-0.97	-1.1818559515
56		O(c1cc(c(cc1Cl)Cl)Cl)P(OCC)(CC)=S	Training	-1.34	-0.9850420829
57		N2=C(Nc1ccc(cc1Cl)C)NCC2	Training	0.19	-999
58		N#CC2CC1CC2(C(=NOC(=O)NC)C1Cl)	Training	-1	-1.3517429301
59		O=C(Oc1cc(c(cc1Cl)C)C)NC	Training	-0.85	-0.3021345049
60		O=C(OC(Cc1ccccc1)CCl)N	Training	0.36	0.6838610759
61		O=C(O)CC(c1ccc(cc1)Cl)CN	Training	-0.17	0.6118319332
62		O=C(OCC(O)COc1ccc(cc1)Cl)N	Training	0.48	0.8700429472
63		N1=C(NCC1)Cc2ccccc2	Training	0.79	0.1719672147
64		O=C(Nc1cccc(c1)NC(=O)C)C	Training	1.75	1.0273863133
65		O=NN(C(=O)C)c1ccc(OCC)cc1	Training	-1	0.4848363166
66		O=C(Oc1ccc(cc1)NC(=O)C)NC	Training	0.58	-0.1507422944
67		O=C(NN)COc1ccc(cc1)C(=O)C	Training	0.94	0.9197334426
68		O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	0.66	-999
69		O=C1NC(=O)N(C=C1C)C2OC(C=C2)CO	Training	1.25	1.0758612923
70		O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	-0.98	-0.588273981
71		O=[N+]([O-])c2oc(C=NNC(N1CCCC1)=S)cc2	Training	0.45	0.4297786287
72		OCC3OC(n2cnc1c2(ncnc1S))C(O)C3(O)	Training	0.5	-999
73		N#Cc1ccc(OP(OC)(OC)=S)c(OC)c1	Training	1	-0.6513781282
74		O=Cc1ccc(cc1)CCC	Training	1.03	0.7283968109
75		O(c1ccc(cc1)CC=C)C	Training	0.92	1.0546506189
76		OC2c1ccccc1CCC2	Training	1.04	0.8828369759
77		O=C(c1ccccc1)C(O)(C)C	Training	1.01	0.8774658527
78		O=C(OCc1ccccc1)CC	Training	1.3	1.2632845657
79		O=C(OCC)Cc1ccccc1	Training	1.3	1.0558832499
80		Oc1ccc(cc1(OC))CC=C	Training	1.07	1.0617853752
81		O=C(C)CCc1ccc(O)cc1	Training	0.91	1.2094892176
82		O=C(OCc1ccc(cc1)C)C	Training	1.48	1.134673111
83		O(c1ccccc1C)CC2OC2	Training	1.23	0.8489978455
84		O1CC(OC1c2ccccc2)C	Training	1.26	1.1440804756
85		O=COCCCc1ccccc1	Training	1.4	1.1614998773
86		OCC1OC(OC1)c2ccccc2	Training	1.24	1.1405197786
87		O=C(OC(=C)C(=O)OCC=C)OCC=C	Training	0.26	0.1021904531
88		O(C(C)C)P(CCl)(=S)Sc1ccc(cc1)Br	Training	-1.19	-0.8535821926
89		O=[N+]([O-])c1ccc(OC)c(c1)CNCCBr	Training	-1.16	-0.9696746553
90		O(c1ccc(cc1Cl)Cl)P(OCC)(CC)=S	Training	-1.08	-1.0003760591
91		O(c1cc(ccc1Cl)Cl)P(OCC)(CC)=S	Training	-1.2	-0.9690265677
92		O(c1ccc(cc1Cl)Cl)P(OCC)(OCC)=S	Training	-0.26	-0.6608253027
93		O(CCC)P(CCl)(=S)Sc1ccc(cc1)Cl	Training	-0.59	-1.0521448926
94		O(c1ccc(cc1Cl)Cl)P(C)(=S)SCCC	Training	-0.25	-0.2305495537
95		O(C(C)C)P(CCl)(=S)Sc1ccc(cc1)Cl	Training	-1.08	-0.8802072871
96		Fc1ccc(cc1)SP(OC(C)C)(CCl)=S	Training	-0.88	-0.9583972118
97		N(=CN(C)C)c1ccc(cc1C)Cl	Training	-0.09	0.6650464416
98		O=C(Nc1ccc(c(c1)Cl)C)N(C)C	Training	1.44	0.8692563244
99		O=C(Nc1ccc(OC)c(c1)Cl)N(C)C	Training	0.85	0.9563519505
100		O=[N+]([O-])c1ccc(OC)c(c1)CNCCCl	Training	-0.94	-1.0032503582
101		O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	0.89	0.7895602355
102		c1cc(cc(c1NC(N(C)C)=S)C)Cl	Training	1.04	-999
103		O=[N+]([O-])c1ccc(OP(OCC)(CC)=S)c(c1)Cl	Training	-1.13	-0.9731495062
104		O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)c(c1)Cl	Training	-1.51	-1.2950811382
105		O=[N+]([O-])c1cc(OP(OCC)(OCC)=S)ccc1Cl	Training	-0.51	-0.9659786753
106		OCCOc1cc(c(c(c1)C)Cl)C	Training	1.28	0.5656693324
107		N(=C(N)N)CC=Cc1ccccc1	Training	0.22	0.9201407753
108		O=C(OC)c1cccc(N=NN(C)C)c1	Training	-0.54	-0.7906885072
109		O=Nc1ccc(cc1)NCC([N+](=O)[O-])(C)C	Training	1.09	0.2432976753
110		O=[N+]([O-])c2oc(C=NN1CCS(=O)(=O)CC1C)cc2	Training	1.15	0.1806787237
111		O=C3NC=Nc1c3(ncn1C2OC(COP(=O)(O)O)C(O)C2(O))	Training	1.61	1.2510685345
112		O=C1NC(=O)N(C=C1C)C2OC(CO)C(N=[N+]=N)C2	Training	1.06	1.2954389068
113		O=C(N)C(c1ccccc1)(C)C	Training	1.01	0.7579469426
114		O=C(NCC)Cc1ccccc1	Training	0.67	0.7895663134
115		O2CCN(c1ccccc1)CC2	Training	0.76	1.0114497595
116		O=C(O)c1ncc(cc1)CCCC	Training	0.43	1.4104317269
117		O=C(Nc1ccc(OCC)cc1)C	Training	0.96	-999
118		O=C(Nc1cc(ccc1(OC))C)C	Training	1.1	-999
119		O=C(Oc1ccc(c(c1)C)C)NC	Training	0.21	0.1062314033
120		O=C(Oc1cc(cc(c1)C)C)NC	Training	0.14	0.1311142128
121		O=C(OC(C)Cc1ccccc1)N	Training	0.79	0.537392995
122		O=C(OCCCc1ccccc1)N	Training	0.79	0.864526533
123		O=C(Oc1ccc(c(c1)C)SC)NC	Training	-0.63	-0.5790746533
124		O=S2(=O)(CCN(c1ccccc1)CC2)	Training	0.58	1.0887895732
125		O=[N+]([O-])c1ccc(OCCSCC)cc1	Training	0.56	1.209749148
126		O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	1.37	1.1350173364
127		O=C(O)c1cc(c(N)cc1(OC))S(=O)(=O)CC	Training	0.89	1.3742393355
128		c1ccc(cc1)C(C)(C)C	Training	1.36	1.3083496885
129		c1c(cc(c(c1C)C)C)C	Training	1.58	1.6105164497
130		c1c(c(cc(c1C)C)C)C	Training	1.72	1.5586452874
131		c1cc(ccc1C)C(C)C	Training	1.55	1.2428632877
132		O=CNC(N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl	Training	1.14	-999
133		NC(C)(C)Cc1ccc(cc1)Cl	Training	-0.16	-0.0066266395
134		NC(C)(C)Cc1ccccc1Cl	Training	0.18	-0.1315472645
135		c1ccc(cc1)N(CC)CCCl	Training	0.53	0.7404323507
136		n1c(cccc1Cl)N2CCC(N)CC2	Training	-0.11	0.3734569829
137		OCCN(c1cccc(c1)Cl)CCO	Training	1.38	0.9867874073
138		O(c1ccc(cc1)Cl)P(OCC)(CC)=S	Training	-0.44	-0.895222923
139		O=P(OCC)(CC)Sc1ccc(cc1)Cl	Training	-1.66	-1.4286736208
140		O(C)P(OC)(=S)SCCSc1ccc(cc1)Cl	Training	-0.52	-0.3674835635
141		O(C)P(CC)(=S)Sc1ccc(c(c1)C)Cl	Training	-0.5	-0.8824133648
142		n1cccc(c1)C2N(C)CCC2	Training	-0.5	0.4300063155
143		c1ccc(cc1)N2CCNCC2	Training	0.11	0.5568578339
144		n1cccc(c1)C2NCCCC2	Training	-0.09	-0.00238522
145		O=Nc1ccc(cc1(O))N(CC)CC	Training	0.14	0.3141173489
146		O=C=NCC1CCC(CN=C=O)CC1	Training	0.92	0.5846409034
147		O=C(C)SCc1cnc(c(O)c1CN)C	Training	0.82	0.9333457141
148		O=[N+]([O-])c1ccc(OC)c(c1)CNCCO	Training	-0.88	-1.0182879706
149		c1cc(cc(c1)C)NC(N(C)C)=S	Training	1.05	0.4031727338
150		N#Cc1c(cnn1C(C)(C)C)C(=O)NC	Training	0.28	-999
151		O=C(Nc1ccc(N=NN(C)C)cc1)C	Training	0.39	-0.0639757183
152		O=C3N=CNc1c3(ncn1C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2(O))	Training	0.95	1.4582211731
153		O=[N+]([O-])c1oc(C=NNC(N(CC)CC)=S)cc1	Training	0.44	0.4335578867
154		O=[N+]([O-])c1ccc(OP(=O)(OCC)SCC)cc1	Training	-1.21	-999
155		O=[N+]([O-])c1ccc(OP(OC)(OC(C)C)=S)cc1	Training	-1.76	-1.7538269773
156		O=[N+]([O-])c1ccc(OP(=O)(OCC)OCC)cc1	Training	-2.18	-1.6187546868
157		OC(C)(C)Cc1ccccc1	Training	0.93	1.1076295123
158		Oc1ccccc1C(C)(C)C	Training	0.47	0.6250814106
159		Oc1ccccc1CCCC	Training	0.63	0.5106221132
160		Oc1cc(ccc1CCC)C	Training	0.69	0.6546985594
161		Oc1ccc(cc1)C(C)CC	Training	1.21	0.6488479398
162		Oc1cc(ccc1C)C(C)C	Training	0.73	0.6610593099
163		Oc1cc(ccc1C(C)C)C	Training	0.81	0.6315349136
164		OCc1ccc(cc1)C(C)C	Training	0.83	1.4291495614
165		OC1CC2CC1C3CC=CC23	Training	1.33	1.3986238655
166		Oc1ccc(cc1(O))C(C)(C)C	Training	0.69	1.0477055989
167		Oc1ccc(cc1(OC))CCC	Training	1.19	1.1397005495
168		O=CC2(C)(C1CC(=O)C2(C)(CC1))	Training	1.27	0.8594158127
169		OC1CC3CC1C4CC2OC2C34	Training	1.28	1.2438640728
170		OCC(O)COc1ccccc1C	Training	0.54	1.084956614
171		O=C(OC)C1=C(C(=O)OC)CCCC1	Training	0.55	1.4186679051
172		OCC(O)COc1ccccc1(OC)	Training	0.88	0.8441106092
173		O=C(OC=C)CCCCC(=O)OC=C	Training	1.51	0.8248743264
174		O=C(OCCCCOC(=O)C=C)C=C	Training	0.47	-999
175		O=C(OCCOCCOC(=O)C=C)C=C	Training	0.07	0.6644745894
176		O=C1C(C2CCC1(C)C2(C)(C))Br	Training	1.29	0.8606821019
177		O=C(OCC)CC(C)(C)C(C=C(Cl)Cl)Cl	Training	1.07	0.6765119075
178		NC(C)(C)Cc1ccccc1	Training	0.01	-0.2030414969
179		c1ccc(cc1)NCCCC	Training	1.04	0.7715174444
180		c1ccc(cc1)C(NCC)C	Training	0.38	0.3536788783
181		Nc1c(cccc1CC)CC	Training	1.08	0.8425962499
182		NC(C)Cc1ccc(cc1)C	Training	0	-0.2012399652
183		c1ccc(cc1)C(N(C)C)C	Training	0.45	-0.0503063373
184		c1ccc(cc1)CC(NC)C	Training	-0.81	-0.2153436849
185		N#CC=C(C)CCC=C(C)C	Training	1.32	1.2595099348
186		N(=NN(CC)CC)c1ccccc1	Training	0.47	0.3432001245
187		O=C(NNCc1ccc(O)c(O)c1(O))C(N)CO	Training	1.26	-999
188		n1cnn2c1nc(cc2N(CC)CC)C	Training	0.06	-999
189		OC(c1ccccc1)C(NC)C	Training	0.36	0.3957357963
190		O=NCC1=CCC(C(=C)C)CC1	Training	1.18	1.2479926419
191		N#CC1(C)(CC(=O)CC(C)(C)C1)	Training	-0.43	1.0424956492
192		Oc1cccc(c1)C(O)CNCC	Training	-0.2	0.57430351
193		OCCN(c1ccccc1)CCO	Training	0.73	1.0832633055
194		O=S(=O)(NCCCC)c1ccccc1	Training	0.98	0.6205319621
195		O=S(=O)(c1ccccc1)N(CC)CC	Training	0.62	1.0770894832
196		Oc1c(ncc(c1CO)CSCC)C	Training	1.18	1.0838798373
197		O=C(OC(C)(C)CC)Nc1occc1	Training	-0.02	0.8868336344
198		O=S(=O)(O)c1cccc(c1)N(CC)CC	Training	1.47	1.2525168479
199		O=P(OCC)(CC)Sc1ccccc1	Training	-1.92	-0.9162198306
200		O=P(Oc1ccc(cc1)C)(OC)CC	Training	0.35	-0.2878412663
201		O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	-0.19	-0.7162716484
202		O=P(Oc1ccc(cc1)S(=O)(=O)C)(OC)CC	Training	-2.54	-1.6147703114
203		O=C1OC(=CC(OP(=O)(OCC)OCC)=C1)C	Training	-1.89	-999
204		O=P(Oc1ccc(c(c1)C)S(=O)(=O)C)(OC)OC	Training	-0.99	-1.253179749
205		O(c1ccccc1)P(C)(=S)SCCC	Training	-0.07	-0.122329833
206		O(c1ccc(c(c1)C)SC)P(C)(C)=S	Training	-0.15	-0.3184608904
207		C=CC=CCCC=CCC	Training	1.57	1.0902366721
208		C(=CC(=CC)C)C=C(C)C	Training	1.14	0.813901707
209		C1=C(C)C2CC(C1)C2(C)(C)	Training	1.43	1.5348620475
210		C=C1CCC2CC1C2(C)(C)	Training	1.54	1.4965715116
211		C1=C(C)CC2C(C1)C2(C)(C)	Training	1.55	1.4893982458
212		C=C(C)C1CC=C(C)CC1	Training	1.51	1.4096382012
213		C=1C=C(CCC=1C)C(C)C	Training	1.09	1.5232574551
214		C1=C(C)CCC(=C(C)C)C1	Training	1.51	1.3877196938
215		O=C1C=C(C(=NN1CSP(OCC)(OCC)=S)Cl)C	Training	-0.58	-0.3301206626
216		O=C1C=C(C(=NN1CSP(=O)(OCC)OCC)Cl)C	Training	-1.08	-0.9091308549
217		Nc1ccc(cc1)N(CC)CC	Training	0	0.0707658174
218		O(c1cc(N)c(cc1N(C)C)C)C	Training	-0.97	0.0125044869
219		O=C1NC(NC(=O)C1(CC)C(C)SCC)=S	Training	0.47	-0.4976793721
220		O=C(OCC)N1CC(C=NOC)=CCC1	Training	-0.03	-0.4438089092
221		O=S(=O)(Nc1cccc(c1)C(O)CNC)C	Training	-1.42	0.9994716327
222		O=C(ON=C1CSCCS1)N(C(=O)CCC)C	Training	0.86	-2.0364192397
223		O=S(=O)(N)c1cc2c(s1)S(=O)(=O)C(C)CC2(NCC)	Training	0.73	-999
224		O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	0.72	1.1657040948
225		N#CC(N=NC(C#N)(C)CC)(C)CC	Training	0.24	-0.22
226		O=C2N(c1nnc(C(C)(C)C)s1)C(O)CN2C	Training	0.78	0.8545646413
227		O=C(Oc1nn(C(=O)N(C)C)c(c1)C)N(C)C	Training	-0.98	-999
228		O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)CC3(O)	Training	1.1	1.2291359904
229		N#CN=C(NC)NCCSCc1nc[nH]c1C	Training	1.3	0.79
230		O(c1ccc(N)cc1)P(OCC)(OCC)=S	Training	0.24	-999
231		O=P(Oc1ccc(N)cc1)(OCC)OCC	Training	0.61	-999
232		O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1)N(C)C	Training	-1.06	-1.15915879
233		O=C1CC2(CC2(C1C))(C(C)C)	Training	0.1	1.0388551813
234		O=C1C(=C(C)C)CCC(C)C1	Training	0.49	1.0858558856
235		O1CC=C(C)CC1C=C(C)C	Training	1.52	1.3732333168
236		O=CC=C(C)CCC=C(C)C	Training	0.52	1.258936042
237		O=C(C#CCCCCCC)OC	Training	1.12	1.6087540269
238		O=C(OCC=CC=CC)C(C)C	Training	1.47	1.803276444
239		O1OC2(C=CC1(C)CC2)C(C)C	Training	0.08	1.3397442167
240		O=C(O)C=C(C)CCC=C(C)C	Training	1.34	1.1663607711
241		O=C(OC)C1CCC(C(=O)OC)CC1	Training	1.15	1.3151264545
242		O=C(OC(C)C)C=CC(=O)OC(C)C	Training	1.21	1.1245389785
243		O=C(O)CCC(=O)OC1CCCCC1	Training	1.51	1.6009860717
244		O(CC)[Si](c1ccccc1)(C)C	Training	1.14	0.7950502049
245		N#CCC(C)CCC=C(C)C	Training	1.54	1.1898886322
246		NC23(CC1CC(CC(C1)C2)C3)	Training	0.77	0.5101452206
247		n1c(nc(cc1C)C)SP(OCC)(OCC)=S	Training	-0.69	-0.3961137703
248		n1c(OCC)cc(nc1CC)OP(OC)(OC)=S	Training	0.79	0.0473669991
249		O=C1C(OC)=C(OP(OCC)(OCC)=S)C=NN1C	Training	-2.09	-1.3222997349
250		O=C(Nc1noc(c1)C(C)(C)C)N(C)C	Training	0.47	-999
251		O=C(ON=C1C(C)(C)SC(=NC(C)C)S1)NC	Training	-1.49	-999
252		O=C1NCC(C(=O)C1(CC)CC)C	Training	0.67	1.0466164661
253		O(C)P(OC)(=S)SC1CCC2C=CCC1S2	Training	0.53	-0.36
254		O=C(OC)C=C(C(=O)OC)SP(OCC)(OCC)=S	Training	-0.61	0.4680857432
255		C1CCC2CCCCC2(C1)	Training	1.48	1.5053756265
256		O=NN(C(=O)NCC1OC(OC)C(O)C(O)C1(O))CCCl	Training	-0.85	-999
257		n1c(nc(nc1N(CC)CC)Cl)NC(C)C	Training	0.84	0.7067538446
258		O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCO	Training	1.46	0.7930166861
259		N2=C(NCC1CCCCC1)SCC2	Training	-0.6	0.7020463772
260		O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C	Training	-0.73	-0.2443235957
261		O=C(ON=C(C)SC)N(C)SSN(C(=O)ON=C(C)SC)C	Training	-0.31	-0.6547229467
262		O=C(n1nc(nc1SC)C(C)(C)C)N(C)C	Training	-1.21	-999
263		N(C(=S)SSC(N(C)C)=S)CCNC(=S)SSC(N(C)C)=S	Training	0.82	-999
264		O=C1CCC(CC1)C(C)(C)C	Training	1.51	1.0565346789
265		O=C1CCCCC1C(C)CC	Training	1.19	1.1578250229
266		OC(C=C)(C)CCC=C(C)C	Training	1.26	1.275319451
267		O1C2(C)(CCC1(CC2)C(C)C)	Training	1.3	1.3111308756
268		O1CCC(C)CC1C=C(C)C	Training	1.45	1.4232232854
269		O=CC1CC(C)CC(C)(C)C1	Training	1.43	1.0599934893
270		OCC=C(C)CCC=C(C)C	Training	1.37	1.4013056932
271		O=CCC(C)CCC=C(C)C	Training	1.67	1.1159043971
272		OC1CC2CCC1(C)C2(C)(C)	Training	1.53	1.2594338362
273		O=C(OC(C=C)CCCCC)C	Training	0.7	0.9915765122
274		OC(C#CC(O)(C)CC)(C)CC	Training	0.92	0.9438768512
275		O=C(O)CC(C)CCC=C(C)C	Training	1.19	1.2298460598
276		O=C(OCCC1CCCCC1)C	Training	1.27	1.4285224779
277		O=C(C)SCCCCCCSC(=O)C	Training	0.33	-999
278		O(C(=S)SC(OCCCC)=S)CCCC	Training	0.72	-999
279		O(CCCCOCC1OC1)CC2OC2	Training	0.75	1.2623052861
280		O=C(OCCC)CCC(=O)OCCC	Training	1.51	1.6538608227
281		O=C(O)CCCCCCCCC(=O)O	Training	1.85	1.4480936562
282		O=C(OCCOCCOCCOC(=O)C)C	Training	1.82	1.7044330207
283		O=NN(C(=O)NCCS(=O)(=O)N1CCCCC1)CCCl	Training	-0.42	-0.3566092965
284		O=C(C(=C(OP(=O)(OC)OC)C)Cl)N(CC)CC	Training	-1.57	-1.6450363669
285		O=C(O)CCCCCCCCCCl	Training	1.38	1.1743578451
286		N#CC(NC(=O)CSP(=O)(OCC)OCC)(C)C	Training	-1.92	-999
287		n1c(nc(nc1NCC)NC(C)CC)OC	Training	0.65	0.5842084133
288		n1c(nc(nc1NC(C)C)NC(C)C)OC	Training	0.35	0.6877757638
289		O=C(NC(C)(C)C)N1N=C(N(N)C1(=O))C(C)C	Training	0.62	-999
290		O=C(OCCN(CC)CC)C(=C)C	Training	1.4	0.6922919509
291		O=C(OCC)C=C(OP(=O)(OCC)OCC)C	Training	-1.08	-2.3650660056
292		O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)SC	Training	-0.47	-0.0281133129
293		O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	0.21	0.4292005305
294		O=C(OCC)CC(C(=O)OCC)SP(=O)(OC)OC	Training	-0.3	-0.3
295		N(C(C(NC(C)CC)=S)=S)C(C)CC	Training	-1.59	0.5259571426
296		O=C(OC(C)C)C=C(OP(OC)(NCC)=S)C	Training	-0.67	-999
297		O=C(OCC)N(C(=O)CSP(OCC)(OCC)=S)C	Training	-1.03	-0.771234861
298		OC1CCC(CC1)C(C)(C)C	Training	1.43	1.214384175
299		O=CCCCCCCCCC	Training	1.38	1.4871087044
300		O(C=C)CC(CC)CCCC	Training	0.94	1.0794706286
301		OC(C)(C)CCCC(C=C)C	Training	1.36	1.0740498033
302		OC1CC(C)CCC1(C(C)C)	Training	1.12	1.4164259237
303		O=C(O)CCCCCCCCC	Training	1.29	1.0929959226
304		O=C(OCCC(C)C(C)CC)C	Training	1.46	1.4026795091
305		O=C(OCC(CC)CCCC)CS	Training	0.17	0.9133096063
306		O=C(OCCCCCC(C)C)CS	Training	0.23	0.8243484086
307		O=C(OCCOCCOCCCC)C	Training	1.5	1.39327093
308		O1CCOCCOCCOCCOCC1	Training	0.81	0.9235601607
309		O=NN(C(=O)NCCS(=O)(=O)N(CC)CCC)CCCl	Training	-0.12	-0.4565038761
310		FCCCCCCCCCC	Training	-1.51	-999
311		NC1C(CC)CCCC1(CC)	Training	0.01	0.3233333333
312		N(C)C(C)CC1CCCCC1	Training	-0.27	0.6721135142
313		O=C(N(CC)CC)N1CCN(C)CC1	Training	0.55	0.6698160323
314		O=C(N(C)C)CCCCCCC	Training	1.07	0.5306684547
315		OCCN(CCO)C1CCCCC1	Training	1.14	1.402459218
316		O=S(=O)(NC1CCCCC1)CCCC	Training	1.11	0.231144058
317		N#CSCCC[Si](OCC)(OCC)OCC	Training	0.57	1.2058565699
318		N#CCCC[Si](OCC)(OCC)OCC	Training	1.33	0.9198054172
319		OCC(NC1CC(O)(CO)C(O)C(O)C1(O))CO	Training	1.87	-999
320		N=C(N)NCCN1CCCCCCC1	Training	0.72	0.5995351958
321		O=C(NN)CCCCCCCCC(=O)NN	Training	1.04	-999
322		OCCOCC(CC)CCCC	Training	1.25	1.0879758503
323		OCCOCCOCCCCCC	Training	1.1	1.2157926577
324		OCCOCCOCCOCCCC	Training	1.41	1.3828166649
325		O(C)C(OC)CC(OC)CC(OC)C	Training	1.3	1.1002238069
326		O=P(OC(C)C)(OC(C)C)OP(OC(C)C)(CCl)=S	Training	-1.29	-1.4530296948
327		N(CCCCC)CCCCC	Training	0.23	0.3111355331
328		N(C)(C)CCCCCCCC	Training	0.01	0.1719422683
329		OCCN(CCCC)CCCC	Training	0.79	0.9387350586
330		O=P(OCCCC)(CC)SCCCC	Training	-1.59	-1.5715231932
331		O(C(C)C)P(OC(C)C)(=S)SCSC(C)C	Training	-1.78	-1.8315981827
332		O=P(OCCO)(OCCCC)OCCCC	Training	0.56	0.9861300011
333		NCCCCCCNCCCC	Training	0.49	0.3939109464
334		OCC(NCCNC(CO)CC)CC	Training	0.69	0.9396466197
335		O(CCCN)CCCCOCCCN	Training	1.23	0.4761988089
