ID	CAS	SMILES	Status	LC50 Exp
54	75-65-0	OC(C)(C)C	Training	1.06
55	75-89-8	FC(F)(F)CO	Training	2.93
56	75-97-8	O=C(C)C(C)(C)C	Training	3.06
57	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	1.91
58	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	6.75
59	77-47-4	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	6.6
60	77-73-6	C2=CC3C1C=CC(C1)C3(C2)	Training	3.35
61	77-74-7	OC(C)(CC)CC	Training	2.18
62	77-75-8	C#CC(O)(C)CC	Training	1.91
63	78-11-5	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	Training	1.07
64	78-27-3	C#CC1(O)(CCCCC1)	Training	2.69
65	78-34-2	O1CCOC(C1SP(OCC)(OCC)=S)SP(OCC)(OCC)=S	Training	4.66
66	78-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	4.55
67	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	2.74
68	78-79-5	C=CC(=C)C	Training	2.95
69	78-83-1	OCC(C)C	Training	1.7
70	78-87-5	CC(CCl)Cl	Training	2.93
71	78-90-0	NCC(N)C	Training	1.81
72	78-93-3	O=C(C)CC	Training	1.35
73	78-96-6	OC(C)CN	Training	1.47
74	78-97-7	N#CC(O)C	Training	4.9
75	79-00-5	C(C(Cl)Cl)Cl	Training	3.21
76	79-06-1	O=C(N)C=C	Training	2.79
77	79-19-6	NNC(N)=S	Training	3.64
78	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	3.92
79	79-77-6	O=C(C=CC1=C(C)CCCC1(C)C)C	Training	4.58
80	79-95-8	Oc1c(cc(cc1Cl)C(c2cc(c(O)c(c2)Cl)Cl)(C)C)Cl	Training	5.44
81	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	4.69
82	80-06-8	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C	Training	5.25
83	80-46-6	Oc1ccc(cc1)C(C)(C)CC	Training	4.8
84	80-52-4	NC(C)(C)C1CCC(N)(C)CC1	Training	3.42
85	81-19-6	c1cc(c(c(c1)Cl)C(Cl)Cl)Cl	Training	5.38
86	82-71-3	O=[N+]([O-])c1cc(c(O)c(c1(O))[N+](=O)[O-])[N+](=O)[O-]	Training	1.91
87	83-34-1	c1ccc2c(c1)[nH]cc2C	Training	4.17
88	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	7.82
89	84-62-8	O=C(Oc1ccccc1)c3ccccc3(C(=O)Oc2ccccc2)	Training	6.6
90	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	4.12
91	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	5.37
92	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	5.21
93	86-57-7	O=[N+]([O-])c2cccc1ccccc12	Training	4.47
94	86-74-8	c1ccc3c(c1)[nH]c2ccccc23	Training	5.26
95	87-17-2	O=C(Nc1ccccc1)c2ccccc2(O)	Training	7.43
96	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	6.44
97	87-72-9	OC1OCC(O)C(O)C1(O)	Training	0.6
98	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	6.03
99	87-91-2	O=C(OCC)C(O)C(O)C(=O)OCC	Training	2.5
100	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	4.64
101	88-30-2	O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Training	4.58
102	88-68-6	O=C(N)c1ccccc1(N)	Training	2.54
103	88-72-2	O=[N+]([O-])c1ccccc1C	Training	3.56
104	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	2.94
105	88-85-7	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	6.19
106	89-62-3	O=[N+]([O-])c1cc(ccc1(N))C	Training	3.79
107	89-83-8	Oc1cc(ccc1C(C)C)C	Training	4.67
108	90-02-8	O=Cc1ccccc1(O)	Training	4.73
109	91-20-3	c1ccc2ccccc2(c1)	Training	4.32
110	91-22-5	n1cccc2ccccc12	Training	3.45
111	91-23-6	O=[N+]([O-])c1ccccc1(OC)	Training	2.9
112	91-65-6	N(CC)(CC)C1CCCCC1	Training	3.86
113	91-66-7	c1ccc(cc1)N(CC)CC	Training	3.96
114	91-88-3	OCCN(c1cccc(c1)C)CC	Training	3.53
115	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	5.09
116	92-52-4	c1ccc(cc1)c2ccccc2	Training	4.72
117	93-72-1	O=C(O)C(Oc1cc(c(cc1Cl)Cl)Cl)C	Training	4.2
118	93-89-0	O=C(OCC)c1ccccc1	Training	4.24
119	93-91-4	O=C(c1ccccc1)CC(=O)C	Training	5.17
120	94-09-7	O=C(OCC)c1ccc(N)cc1	Training	3.67
121	94-62-2	O=C(C=CC=Cc1ccc2OCOc2(c1))N3CCCCC3	Training	4.56
122	94-67-7	ON=Cc1ccccc1(O)	Training	4.63
123	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	2.93
124	94-81-5	O=C(O)CCCOc1ccc(cc1C)Cl	Training	4.26
125	94-82-6	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	4.14
126	95-01-2	O=Cc1ccc(O)cc1(O)	Training	4.02
127	95-16-9	n1csc2ccccc12	Training	3.33
128	95-47-6	c1ccc(c(c1)C)C	Training	3.81
129	95-48-7	Oc1ccccc1C	Training	3.89
130	95-50-1	c1ccc(c(c1)Cl)Cl	Training	3.41
131	95-51-2	Nc1ccccc1Cl	Training	4.35
132	95-57-8	Oc1ccccc1Cl	Training	4.04
133	95-65-8	Oc1ccc(c(c1)C)C	Training	3.94
134	95-75-0	c1cc(c(cc1C)Cl)Cl	Training	4.74
135	95-76-1	Nc1ccc(c(c1)Cl)Cl	Training	4.32
136	95-80-7	Nc1ccc(c(N)c1)C	Training	1.94
137	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	5.83
138	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	5.26
139	96-05-9	O=C(OCC=C)C(=C)C	Training	5.11
140	96-13-9	OCC(CBr)Br	Training	3.49
141	96-17-3	O=CC(C)CC	Training	3.94
142	96-22-0	O=C(CC)CC	Training	1.75
143	96-29-7	ON=C(C)CC	Training	2.01
144	97-02-9	O=[N+]([O-])c1ccc(N)c(c1)[N+](=O)[O-]	Training	4.08
145	97-23-4	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	5.94
146	97-53-0	Oc1ccc(cc1(OC))CC=C	Training	3.84
147	98-01-1	O=Cc1occc1	Training	3.56
148	98-54-4	Oc1ccc(cc1)C(C)(C)C	Training	4.47
149	98-82-8	c1ccc(cc1)C(C)C	Training	4.28
150	98-86-2	O=C(c1ccccc1)C	Training	2.87
151	98-88-4	O=C(c1ccccc1)Cl	Training	3.61
152	98-95-3	O=[N+]([O-])c1ccccc1	Training	3.02
153	99-08-1	O=[N+]([O-])c1cccc(c1)C	Training	3.64
154	99-35-4	O=[N+]([O-])c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	5.32
155	99-52-5	O=[N+]([O-])c1ccc(N)c(c1)C	Training	3.24
156	99-55-8	O=[N+]([O-])c1ccc(c(N)c1)C	Training	3.34
157	99-61-6	O=Cc1cccc(c1)[N+](=O)[O-]	Training	4.42
158	99-97-8	c1cc(ccc1N(C)C)C	Training	3.42
159	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	3.44
160	100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	3.08
161	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	3.53
162	100-25-4	O=[N+]([O-])c1ccc(cc1)[N+](=O)[O-]	Training	5.39
163	100-37-8	OCCN(CC)CC	Training	1.82
164	100-42-5	C=Cc1ccccc1	Training	3.73
165	100-46-9	NCc1ccccc1	Training	3.02
166	100-52-7	O=Cc1ccccc1	Training	3.93
167	100-61-8	c1ccc(cc1)NC	Training	3.03
168	100-64-1	ON=C1CCCCC1	Training	2.74
169	100-70-9	N#Cc1ncccc1	Training	2.16
170	100-71-0	n1ccccc1CC	Training	2.41
171	100-97-0	N12(CN3CN(C1)CN(C2)C3)	Training	0.45
172	101-20-2	O=C(Nc1ccc(cc1)Cl)Nc2ccc(c(c2)Cl)Cl	Training	6.54
173	101-84-8	O(c1ccccc1)c2ccccc2	Training	4.63
174	102-27-2	c1cc(cc(c1)C)NCC	Training	3.44
175	102-69-2	N(CCC)(CCC)CCC	Training	3.45
176	102-71-6	OCCN(CCO)CCO	Training	1.1
177	103-05-9	OC(C)(C)CCc1ccccc1	Training	3.39
178	103-76-4	OCCN1CCNCC1	Training	1.31
179	103-83-3	c1ccc(cc1)CN(C)C	Training	3.55
180	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	2.27
181	104-13-2	Nc1ccc(cc1)CCCC	Training	4.17
182	104-67-6	O=C1OC(CC1)CCCCCCC	Training	2.09
183	104-76-7	OCC(CC)CCCC	Training	3.66
184	104-88-1	O=Cc1ccc(cc1)Cl	Training	4.81
185	104-90-5	n1cc(ccc1C)CC	Training	3.17
186	105-14-6	O=C(C)CCCN(CC)CC	Training	2.67
187	105-53-3	O=C(OCC)CC(=O)OCC	Training	4.02
188	105-67-9	Oc1ccc(cc1C)C	Training	3.86
189	105-75-9	O=C(OCCCC)C=CC(=O)OCCCC	Training	5.52
190	105-99-7	O=C(OCCCC)CCCCC(=O)OCCCC	Training	4.85
191	106-24-1	OCC=C(C)CCC=C(C)C	Training	4.58
192	106-37-6	c1cc(ccc1Br)Br	Training	5.28
193	106-40-1	Nc1ccc(cc1)Br	Training	3.56
194	106-42-3	c1cc(ccc1C)C	Training	4.1
195	106-44-5	Oc1ccc(cc1)C	Training	3.66
196	106-46-7	c1cc(ccc1Cl)Cl	Training	4.27
197	106-49-0	Nc1ccc(cc1)C	Training	2.83
198	106-63-8	O=C(OCC(C)C)C=C	Training	4.79
199	106-94-5	CCCBr	Training	3.26
200	107-02-8	O=CC=C	Training	6.32
201	107-05-1	C=CCCl	Training	3.54
202	107-06-2	C(CCl)Cl	Training	2.9
203	107-07-3	OCCCl	Training	3.14
204	107-10-8	NCCC	Training	2.28
205	107-13-1	N#CC=C	Training	3.57
206	107-15-3	NCCN	Training	2.55
207	107-18-6	OCC=C	Training	5.26
208	107-21-1	OCCO	Training	0.04
209	107-22-2	O=CC=O	Training	2.43
210	107-29-9	ON=CC	Training	2.89
211	107-45-9	NC(C)(C)CC(C)(C)C	Training	3.72
212	107-47-1	CC(C)(C)SC(C)(C)C	Training	3.7
213	107-49-3	O=P(OCC)(OCC)OP(=O)(OCC)OCC	Training	5.33
214	107-87-9	O=C(C)CCC	Training	1.84
215	108-05-4	O=C(OC=C)C	Training	3.57
216	108-10-1	O=C(C)CC(C)C	Training	2.27
217	108-20-3	O(C(C)C)C(C)C	Training	2.11
218	108-38-3	c1cc(cc(c1)C)C	Training	3.82
219	108-46-3	Oc1cccc(O)c1	Training	3.3
220	108-86-1	c1ccc(cc1)Br	Training	4.45
221	108-89-4	n1ccc(cc1)C	Training	2.36
222	108-90-7	c1ccc(cc1)Cl	Training	3.64
223	108-93-0	OC1CCCCC1	Training	2.06
224	108-94-1	O=C1CCCCC1	Training	2.19
225	108-95-2	Oc1ccccc1	Training	3.5
226	109-01-3	N1CCN(C)CC1	Training	1.64
227	109-06-8	n1ccccc1C	Training	2.02
228	109-07-9	N1CCNC(C)C1	Training	1.65
229	109-21-7	O=C(OCCCC)CCC	Training	4.1
230	109-27-3	O=NN=NC(=NNNN=C(N)N)N	Training	1
231	109-60-4	O=C(OCCC)C	Training	3.23
232	109-64-8	C(CBr)CBr	Training	5.05
233	109-65-9	CCCCBr	Training	3.57
234	109-73-9	NCCCC	Training	2.44
235	109-75-1	N#CCC=C	Training	2.57
236	109-76-2	NCCCN	Training	1.79
237	109-77-3	N#CCC#N	Training	5.07
238	109-85-3	O(C)CCN	Training	2.16
239	109-89-7	N(CC)CC	Training	1.93
240	109-97-7	c1cc[nH]c1	Training	2.5
241	109-99-9	O1CCCC1	Training	1.52
242	110-00-9	o1cccc1	Training	3.05
243	110-06-5	CC(C)(C)SSC(C)(C)C	Training	5.12
244	110-43-0	O=C(C)CCCCC	Training	2.94
245	110-54-3	CCCCCC	Training	4.54
246	110-56-5	C(CCCl)CCl	Training	3.39
247	110-58-7	NCCCCC	Training	2.69
248	110-62-3	O=CCCCC	Training	3.83
249	110-65-6	OCC#CCO	Training	3.21
250	110-73-6	OCCNCC	Training	1.78
251	110-82-7	C1CCCCC1	Training	3.3
252	110-86-1	n1ccccc1	Training	2.91
253	110-88-3	O1COCOC1	Training	1.18
254	110-93-0	O=C(C)CCC=C(C)C	Training	3.17
255	111-13-7	O=C(C)CCCCCC	Training	3.45
256	111-15-9	O=C(OCCOCC)C	Training	3.5
257	111-26-2	NCCCCCC	Training	3.25
258	111-30-8	O=CCCCC=O	Training	4.07
259	111-42-2	OCCNCCO	Training	1.85
260	111-46-6	OCCOCCO	Training	0.15
261	111-47-7	CCCSCCC	Training	3.74
262	111-69-3	N#CCCCCC#N	Training	1.94
263	111-70-6	OCCCCCCC	Training	3.51
264	111-83-1	CCCCCCCCBr	Training	5.36
265	111-86-4	NCCCCCCCC	Training	4.4
266	111-87-5	OCCCCCCCC	Training	3.98
267	111-90-0	OCCOCCOCC	Training	0.99
268	112-12-9	O=C(C)CCCCCCCCC	Training	5.06
269	112-20-9	NCCCCCCCCC	Training	4.82
270	112-27-6	OCCOCCOCCO	Training	0.31
271	112-42-5	OCCCCCCCCCCC	Training	5.22
272	112-53-8	OCCCCCCCCCCCC	Training	5.27
273	112-80-1	O=C(O)CCCCCCCC=CCCCCCCCC	Training	3.14
274	114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	Training	4.09
275	115-19-5	C#CC(O)(C)C	Training	1.41
276	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	5.86
277	115-86-6	O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3	Training	5.54
278	115-90-2	O=S(c1ccc(OP(OCC)(OCC)=S)cc1)C	Training	3.86
279	118-55-8	O=C(Oc1ccccc1)c2ccccc2(O)	Training	5.28
280	118-61-6	O=C(OCC)c1ccccc1(O)	Training	3.92
281	119-32-4	O=[N+]([O-])c1cc(N)ccc1C	Training	3.77
282	119-34-6	O=[N+]([O-])c1cc(N)ccc1(O)	Training	3.63
283	119-61-9	O=C(c1ccccc1)c2ccccc2	Training	4.09
284	120-07-0	OCCN(c1ccccc1)CCO	Training	2.39
285	120-21-8	O=Cc1ccc(cc1)N(CC)CC	Training	3.87
286	120-62-7	O=S(CCCCCCCC)C(C)Cc1ccc2OCOc2(c1)	Training	5.64
287	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	4.8
288	120-83-2	Oc1ccc(cc1Cl)Cl	Training	4.3
289	121-32-4	O=Cc1ccc(O)c(OCC)c1	Training	3.28
290	121-57-3	O=S(=O)(O)c1ccc(N)cc1	Training	3.24
291	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	4.42
292	121-82-4	O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1	Training	4.31
293	121-87-9	O=[N+]([O-])c1ccc(N)c(c1)Cl	Training	3.93
294	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Training	4.5
295	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	4.65
296	122-99-6	OCCOc1ccccc1	Training	2.6
297	123-07-9	Oc1ccc(cc1)CC	Training	4.07
298	123-15-9	O=CC(C)CCC	Training	3.73
299	123-25-1	O=C(OCC)CCC(=O)OCC	Training	3.1
300	123-54-6	O=C(C)CC(=O)C	Training	2.85
301	123-66-0	O=C(OCC)CCCCC	Training	4.21
302	123-72-8	O=CCCC	Training	3.65
303	123-86-4	O=C(OCCCC)C	Training	3.81
304	124-04-9	O=C(O)CCCCC(=O)O	Training	3.18
305	124-22-1	NCCCCCCCCCCCC	Training	6.26
306	126-11-4	O=[N+]([O-])C(CO)(CO)CO	Training	2.73
307	126-81-8	O=C1CC(=O)CC(C)(C)C1	Training	1.09
308	127-00-4	OC(C)CCl	Training	2.59
309	127-06-0	ON=C(C)C	Training	2.12
310	127-66-2	C#CC(O)(c1ccccc1)C	Training	3.11
311	131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	Training	3.21
312	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	6.35
313	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	6.16
314	133-11-9	O=C(Oc1ccccc1)c2ccc(N)cc2(O)	Training	4.68
315	134-62-3	O=C(c1cccc(c1)C)N(CC)CC	Training	3.24
316	138-86-3	C=C(C)C1CC=C(C)CC1	Training	2.05
317	140-31-8	NCCN1CCNCC1	Training	1.77
318	140-88-5	O=C(OCC)C=C	Training	4.6
319	141-03-7	O=C(OCCCC)CCC(=O)OCCCC	Training	4.71
320	141-28-6	O=C(OCC)CCCCC(=O)OCC	Training	4.05
321	141-43-5	OCCN	Training	1.47
322	141-91-3	O1C(C)CNCC1C	Training	2.47
323	142-28-9	C(CCl)CCl	Training	2.94
324	142-62-1	O=C(O)CCCCC	Training	2.76
325	142-92-7	O=C(OCCCCCC)C	Training	4.56
326	143-50-0	O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	6.11
327	145-73-3	O=C(O)C2C1OC(CC1)C2(C(=O)O)	Training	3.07
328	148-53-8	O=Cc1cccc(OC)c1(O)	Training	4.77
329	149-31-5	OCC(C)C(O)CC	Training	1.13
330	150-19-6	Oc1cccc(OC)c1	Training	3.22
331	150-78-7	O(c1ccc(OC)cc1)C	Training	3.07
332	152-16-9	O=P(OP(=O)(N(C)C)N(C)C)(N(C)C)N(C)C	Training	3.37
333	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Training	6.58
334	253-52-1	n1ncc2ccccc2(c1)	Training	3.11
335	260-94-6	n1c3ccccc3(cc2ccccc12)	Training	4.89
336	271-89-6	o1ccc2ccccc12	Training	3.93
337	275-51-4	C1=CC=C2C=CC=C2(C=C1)	Training	4.15
338	280-57-9	N12(CCN(CC1)CC2)	Training	1.81
339	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	4.51
340	298-02-2	O(CC)P(OCC)(=S)SCSCC	Training	6.02
341	298-04-4	O(CC)P(OCC)(=S)SCCSCC	Training	4.85
342	299-84-3	O(c1cc(c(cc1Cl)Cl)Cl)P(OC)(OC)=S	Training	6.02
343	300-76-5	O=P(OC)(OC)OC(C(Cl)(Cl)Br)Br	Training	5.06
344	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	7.09
345	314-40-9	O=C1NC(=C(C(=O)N1C(C)CC)Br)C	Training	3.15
346	315-18-4	O=C(Oc1cc(c(c(c1)C)N(C)C)C)NC	Training	4.12
347	327-98-0	O(c1cc(c(cc1Cl)Cl)Cl)P(OCC)(CC)=S	Training	6.17
348	329-71-5	O=[N+]([O-])c1ccc(c(O)c1)[N+](=O)[O-]	Training	4.74
349	330-93-8	Fc2ccc(Oc1ccc(F)cc1)cc2	Training	5.26
350	350-46-9	O=[N+]([O-])c1ccc(F)cc1	Training	3.7
351	368-77-4	N#Cc1cccc(c1)C(F)(F)F	Training	3.56
352	371-40-4	Fc1ccc(N)cc1	Training	3.82
353	383-63-1	O=C(OCC)C(F)(F)F	Training	1.15
354	387-45-1	O=Cc1c(F)cccc1Cl	Training	4.23
355	393-39-5	Fc1ccc(N)c(c1)C(F)(F)F	Training	3.78
356	447-60-9	N#Cc1ccccc1C(F)(F)F	Training	3.61
357	454-89-7	O=Cc1cccc(c1)C(F)(F)F	Training	5.28
358	459-59-6	Fc1ccc(cc1)NC	Training	3.51
359	464-45-9	OC1CC2CCC1(C)C2(C)(C)	Training	3.39
360	464-48-2	O=C1CC2CCC1(C)C2(C)(C)	Training	3.95
361	464-49-3	O=C1CC2CCC1(C)C2(C)(C)	Training	3.14
362	470-82-6	O1C(C)(C)C2CCC1(C)CC2	Training	3.18
363	471-77-2	O=C(O)C2(C)(CCCC3(C)(C1C(=CC(=C(C)C)CC1)CCC23))	Training	5.3
364	475-20-7	C=C2C1CCC3C1C(C)(C)CCCC23(C)	Training	4.3
365	496-11-7	c1ccc2c(c1)CCC2	Training	3.93
366	496-16-2	O2c1ccccc1CC2	Training	3.17
367	497-37-0	OC2CC1CCC2(C1)	Training	2.69
368	498-66-8	C1=CC2CCC1C2	Training	3.97
369	499-83-2	O=C(O)c1nc(ccc1)C(=O)O	Training	2.72
370	500-28-7	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1Cl	Training	5.03
371	502-56-7	O=C(CCCC)CCCC	Training	3.66
372	506-96-7	O=C(C)Br	Training	3.48
373	512-56-1	O=P(OC)(OC)OC	Training	1.3
374	513-81-5	C=C(C(=C)C)C	Training	4.08
375	514-10-3	O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))	Training	5.1
376	525-82-6	O=C1C=C(Oc2ccccc12)c3ccccc3	Training	4.8
377	527-60-6	Oc1c(cc(cc1C)C)C	Training	4.02
378	534-52-1	O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-]	Training	5.01
379	538-68-1	c1ccc(cc1)CCCCC	Training	4.94
380	541-73-1	c1cc(cc(c1)Cl)Cl	Training	4.27
381	542-75-6	C(=CCl)CCl	Training	4.68
382	555-16-8	O=Cc1ccc(cc1)[N+](=O)[O-]	Training	4.18
383	563-80-4	O=C(C)C(C)C	Training	2
384	570-24-1	O=[N+]([O-])c1cccc(c1(N))C	Training	3.8
385	573-56-8	O=[N+]([O-])c1cccc(c1(O))[N+](=O)[O-]	Training	3.67
386	578-46-1	O=[N+]([O-])c1ccc(cc1(N))C	Training	3.79
387	583-53-9	c1ccc(c(c1)Br)Br	Training	4.76
388	584-84-9	O=C=Nc1ccc(c(N=C=O)c1)C	Training	3.03
389	589-16-2	Nc1ccc(cc1)CC	Training	3.22
390	590-86-3	O=CCC(C)C	Training	4.42
391	591-78-6	O=C(C)CCCC	Training	2.37
392	592-46-1	C(C=CC)=CC	Training	3.61
393	598-74-3	NC(C)C(C)C	Training	2.49
394	600-36-2	OC(C(C)C)C(C)C	Training	2.85
395	602-01-7	O=[N+]([O-])c1cccc(c1[N+](=O)[O-])C	Training	4.99
396	607-81-8	O=C(OCC)C(C(=O)OCC)Cc1ccccc1	Training	4.66
397	608-73-1	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	4.58
398	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	5.9
399	609-23-4	Oc1c(cc(cc1I)I)I	Training	5.59
400	610-39-9	O=[N+]([O-])c1ccc(cc1[N+](=O)[O-])C	Training	5.08
401	613-45-6	O=Cc1ccc(OC)cc1(OC)	Training	3.92
402	614-80-2	O=C(Nc1ccccc1(O))C	Training	3.66
403	615-65-6	Nc1ccc(cc1Cl)C	Training	3.59
404	616-72-8	O=[N+]([O-])c1cc(c(cc1C)C)[N+](=O)[O-]	Training	4.4
